evaluation_seed,sequence_index,token_start,token_end_exclusive,token_count,token_ids_sha256,first_document_index,last_document_index,first_source_id,last_source_id
11,0,118588,118845,257,D31876E43E53CCF3A2EB0296CE99B2E094244B00758912194CA2C95F676F0859,2911,2918,activitynet~v_oTsTx2BhtgY,activitynet~v_p800u2wCKbE
11,1,265411,265668,257,789A9DA488B830B9AC6CFBDDBFF03C3475A4C687D2A18CB7F42EE44A8F9E5768,4489,4491,wikihow~15759,wikihow~15771
11,2,405133,405390,257,85DF9E0C26F367E94BE751DB008059725D1186726CCBEE9780E6FBF68AA13DA4,5799,5802,wikihow~31312,wikihow~31371
11,3,563159,563416,257,667F770F273DB161553EE1E887D5B2C543D134751ADD71FFA73B1ACF48013CE5,7271,7273,wikihow~49275,wikihow~49297
11,4,623157,623414,257,072B269DF0F9858BAB20CAC5CB4249368C6834CB484296BC8D376F9964F01AAA,7830,7833,wikihow~55932,wikihow~56037
11,5,765127,765384,257,8AD8E5C074887192057EA5D5D64272DD9F1BFE12200BD91C235C588256991110,9154,9156,wikihow~71890,wikihow~71935
23,0,75999,76256,257,DA5BA52CE5C8A63FE0829C66D8DDE14C1BEA72D18FBF8190F8E394F869D6E958,1863,1869,activitynet~v_SokK_O2s9tQ,activitynet~v_TspdPLMqTx0
23,1,165246,165503,257,AC33E495F03ADAB3732E89E4A5C582731B2AD18B16B7ACB1401BBF0F9F21F9D7,3558,3560,wikihow~4008,wikihow~4021
23,2,291164,291421,257,ADAEFB57158A35DA97E02F6E0D81B63664D57A76735AA2ED7783DF391699C8F5,4734,4736,wikihow~18885,wikihow~18953
23,3,510443,510700,257,BB7E628EDFB2197FF168257EB98769159A36D224047AA730A01C65C7E3F8E815,6778,6780,wikihow~43074,wikihow~43111
23,4,684458,684715,257,EE6D20F5F1CE93827DCBFF78ED009C54934D26971C3F10515FD29B0842B57059,8405,8407,wikihow~62615,wikihow~62673
23,5,816121,816378,257,9B30F733094D6185AC5BC473C4C556DBACDD25084E890FC167DC5E9EF50511ED,9628,9630,wikihow~77693,wikihow~77722
37,0,24013,24270,257,6D96626B66365C661591FFD3F60A8609CA944D6A17AF65050BE02B1B567E40EC,592,598,activitynet~v_E5FiPYZARLE,activitynet~v_FMVECEaQ0Jo
37,1,278352,278609,257,EC25FC2A314BB74F24BC182224E6B6819701303EB5E342994A1789A526D73672,4613,4615,wikihow~17178,wikihow~17210
37,2,295978,296235,257,7F973CF014621952E4B12B496509ADCFF8F02677372004EFD80FF691C68F40D5,4779,4781,wikihow~19425,wikihow~19454
37,3,526823,527080,257,9D1C212733DE19C4E60AFDFFB31C39BE5E5C479911744256B4DF68A3C96BEDC2,6930,6933,wikihow~44987,wikihow~45084
37,4,688127,688384,257,3268D1F5D89B5A04A1F81D97ACED598FBD3F596812FB4A4D80DF640E47E8F739,8440,8443,wikihow~63090,wikihow~63116
37,5,855136,855393,257,44AD9CFF45E024E314635D6692B2BA8F6A361EEC4AF6A25CE6FC53D8AC61138A,9992,9995,wikihow~82725,wikihow~82790
