scale_m,run_id,delta_agreement,delta_nll_damage,delta_kl,negative_eval_resamples,spearman
70,1,-0.14333767361111105,0.7325218783484562,0.8064159055550897,3,-0.9999999999999999
70,2,-0.14838324652777785,0.7174513207541573,0.7310340238942041,3,-0.9999999999999999
70,3,-0.16162109375,0.7602666086620755,0.7533480789926317,3,-0.9999999999999999
70,4,-0.14105902777777773,0.5618514749738905,0.5722367333041294,3,-0.7999999999999999
70,5,-0.08734809027777785,0.249948872460259,0.29318764143519904,3,-0.8999999999999998
160,1,-0.09019097222222228,0.31900213824378104,0.28524231132533834,3,-0.9999999999999999
160,2,-0.10410156250000013,0.3230583323372735,0.3441539893547695,3,-0.9999999999999999
160,3,-0.08910590277777763,0.31110963026682514,0.31922702590624485,3,-0.9999999999999999
160,4,-0.1181857638888889,0.34314100212521026,0.35036769343747026,3,-0.9999999999999999
160,5,-0.0902994791666667,0.3274241897794936,0.33374429013994006,3,-0.9999999999999999
