experiment,magnitude_definition,run_id,stage,step,high_layer,high_alpha,low_layer,low_alpha,high_top1_damage,low_top1_damage,directional_ds_contrast,high_kl,low_kl,absolute_kl_gap,high_nll_damage,low_nll_damage,absolute_nll_gap,high_magnitude,low_magnitude,magnitude_log_gap,magnitude_ratio,match_score
B,activation_relative_magnitude,1,pilot,72000,10,1.0,3,0.75,0.36566840277777785,0.40625,-0.040581597222222154,0.5591999689737955,0.5733332700199552,0.014133301046159619,0.6036593384212919,0.5834278530544704,0.02023148536682151,0.5636762645509509,0.44778957962989807,0.23015665392366438,1.2587971900034702,0.5904466935387445
B,activation_relative_magnitude,1,pilot,72000,9,1.0,1,0.75,0.3446180555555555,0.3368055555555555,0.0078125,0.47367902596791583,0.4386652823951509,0.03501374357276493,0.4445488452911377,0.4246697690751818,0.019879076215955915,0.463503705130683,0.35208635197745425,0.27493791515312016,1.3164489407995097,1.2249565477756739
B,activation_relative_magnitude,1,pilot,143000,9,0.25,8,0.25,0.10004340277777775,0.103515625,-0.0034722222222222515,0.02343247561819024,0.02087015368872219,0.0025623219294680505,0.018954012129041835,0.018564992480807785,0.00038901964823405064,0.18896493315696716,0.1491974542538325,0.23629083401093615,1.2665426102745527,0.28216683616240845
B,activation_relative_magnitude,1,pilot,143000,9,1.0,5,1.0,0.33940972222222215,0.35004340277777773,-0.01063368055555558,0.4021048612064786,0.39023393392562866,0.01187092728084993,0.42816397878858786,0.42194051212734635,0.006223466661241517,0.7558597326278687,0.5168939299053616,0.38001813124686135,1.4623111027174558,0.4460592229016441
B,activation_relative_magnitude,1,pilot,143000,9,0.75,5,0.75,0.2530381944444445,0.2601996527777778,-0.007161458333333315,0.20523398286766478,0.21086408032311332,0.005630097455448541,0.2125800715552435,0.22701085938347706,0.014430787828233566,0.5668944848908318,0.3876702619923486,0.38001805466477434,1.462310990730624,0.9271692730996285
B,activation_relative_magnitude,1,pilot,143000,6,0.25,4,0.25,0.1178385416666667,0.11870659722222221,-0.0008680555555555108,0.03184187308781677,0.02615250171058708,0.005689371377229687,0.028136783175998215,0.03627792994181315,0.008141146765814934,0.15718586411741045,0.12477588736348681,0.23090972599520648,1.2597455120436016,1.1116802554439644
B,activation_relative_magnitude,1,pilot,143000,9,0.5,5,0.5,0.17513020833333334,0.18684895833333334,-0.01171875,0.0867001149389479,0.09303257945511074,0.0063324645161628446,0.08663052982754167,0.09635358386569548,0.009723054038153808,0.3779298663139343,0.2584469649526808,0.38001813124686135,1.4623111027174558,1.2814500541598717
B,activation_relative_magnitude,1,pilot,143000,10,1.0,2,1.0,0.5075954861111112,0.5110677083333334,-0.00347222222222221,0.9052069253391689,0.9384966757562424,0.033289750417073494,1.055728859371609,0.9589426782396101,0.09678618113199888,0.8194169335895114,0.5420135789447361,0.41330197621011094,1.5118014850935302,1.3219317503682473
B,activation_relative_magnitude,4,pilot,14000,6,0.25,9,0.25,0.08224826388888888,0.06901041666666667,0.01323784722222221,0.012602221738133164,0.01038376014265749,0.0022184615954756737,0.021477089987860836,0.016785224278767902,0.004691865709092934,0.11036118037170833,0.0869240015745163,0.2387242531686407,1.2696283923042857,0.5346372068204297
B,activation_relative_magnitude,4,pilot,14000,2,0.25,7,0.25,0.09092881944444446,0.07660590277777779,0.014322916666666671,0.018287193237079512,0.009732686604062716,0.008554506633016797,0.022701342900594074,0.025201665030585445,0.002500322129991371,0.12489691459470324,0.08827192915810479,0.3470665598328322,1.4149108984691956,1.0221388053011045
B,activation_relative_magnitude,4,pilot,72000,3,0.25,7,0.25,0.08181423611111112,0.07682291666666667,0.0049913194444444475,0.01612351793381903,0.012449146144919924,0.003674371788899105,0.02370712492201088,0.023967928356594708,0.0002608034345838277,0.1187060210439894,0.09469915264182621,0.22594497287932194,1.2535066865166433,0.3848240745288324
B,activation_relative_magnitude,4,pilot,143000,9,0.75,10,0.5,0.3172743055555555,0.29535590277777773,0.02191840277777779,0.23549459874629974,0.24046586950620016,0.00497127075990042,0.2651466528574627,0.26074356502956836,0.004403087827894336,0.49525784121619326,0.36632360021273297,0.3015614219432082,1.3519681530990224,0.37634700873264687
B,activation_relative_magnitude,4,pilot,143000,9,0.25,5,0.25,0.14865451388888887,0.14388020833333334,0.004774305555555525,0.027103714024027187,0.030064082187083035,0.002960368163055848,0.03501478830973307,0.03184586101108122,0.0031689272986518482,0.16508587035867903,0.1165877663426929,0.34782141640402814,1.4159793564741001,0.507298636215708
