stage,run_id,step,status,raw_file,exclusion_reason
pilot,1,14000,completed,raw/pythia-160m-seed1.json,
pilot,1,72000,completed,raw/pythia-160m-seed1.json,
pilot,1,143000,completed,raw/pythia-160m-seed1.json,
pilot,4,14000,completed,raw/pythia-160m-seed4.json,
pilot,4,72000,completed,raw/pythia-160m-seed4.json,
pilot,4,143000,completed,raw/pythia-160m-seed4.json,
pilot,9,14000,completed,raw/pythia-160m-seed9.json,
pilot,9,72000,completed,raw/pythia-160m-seed9.json,
pilot,9,143000,completed,raw/pythia-160m-seed9.json,
confirmatory,6,14000,completed,raw/pythia-160m-seed6.json,
confirmatory,6,72000,completed,raw/pythia-160m-seed6.json,
confirmatory,6,143000,completed,raw/pythia-160m-seed6.json,
confirmatory,7,14000,completed,raw/pythia-160m-seed7.json,
confirmatory,7,72000,completed,raw/pythia-160m-seed7.json,
confirmatory,7,143000,completed,raw/pythia-160m-seed7.json,
confirmatory,8,14000,completed,raw/pythia-160m-seed8.json,
confirmatory,8,72000,completed,raw/pythia-160m-seed8.json,
confirmatory,8,143000,completed,raw/pythia-160m-seed8.json,
