run_id,step,bin_index,bin_low,bin_high,agree_count,bin_count,agreement
2,14000,0,0.0,0.05,6424.0,23130,0.2777345438824038
2,14000,1,0.05,0.1,20159.0,49860,0.4043120738066586
2,14000,2,0.1,0.2,52837.0,99630,0.5303322292482184
2,14000,3,0.2,0.4,78190.0,114930,0.6803271556599669
2,14000,4,0.4,1.01,109158.0,127170,0.8583628214201463
2,72000,0,0.0,0.05,4124.0,19350,0.2131266149870801
2,72000,1,0.05,0.1,15474.0,46530,0.33255963894261764
2,72000,2,0.1,0.2,40761.0,92340,0.4414230019493177
2,72000,3,0.2,0.4,73527.0,120510,0.6101319392581529
2,72000,4,0.4,1.01,104245.0,135990,0.7665637179204353
2,143000,0,0.0,0.05,4032.0,19890,0.20271493212669683
2,143000,1,0.05,0.1,14448.0,49050,0.2945565749235474
2,143000,2,0.1,0.2,39742.0,95040,0.4181607744107744
2,143000,3,0.2,0.4,67100.0,114930,0.5838336378665274
2,143000,4,0.4,1.01,102005.0,135810,0.7510860761357779
3,14000,0,0.0,0.05,6517.0,24570,0.26524216524216526
3,14000,1,0.05,0.1,20685.0,52020,0.39763552479815456
3,14000,2,0.1,0.2,53089.0,96930,0.5477045290415764
3,14000,3,0.2,0.4,80594.0,118170,0.682017432512482
3,14000,4,0.4,1.01,106342.0,123030,0.8643582865967651
3,72000,0,0.0,0.05,4181.0,20340,0.20555555555555555
3,72000,1,0.05,0.1,13342.0,44280,0.30130984643179765
3,72000,2,0.1,0.2,43071.0,93960,0.45839719029374204
3,72000,3,0.2,0.4,69888.0,116010,0.6024308249288854
3,72000,4,0.4,1.01,109390.0,140130,0.7806322700349675
3,143000,0,0.0,0.05,3990.0,19890,0.20060331825037708
3,143000,1,0.05,0.1,14279.0,44820,0.3185854529228023
3,143000,2,0.1,0.2,41956.0,97020,0.4324469181612039
3,143000,3,0.2,0.4,71312.0,116640,0.6113854595336077
3,143000,4,0.4,1.01,107370.0,136350,0.7874587458745874
5,14000,0,0.0,0.05,6113.0,22680,0.2695326278659612
5,14000,1,0.05,0.1,19238.0,49860,0.38584035298836744
5,14000,2,0.1,0.2,53050.0,101700,0.5216322517207473
5,14000,3,0.2,0.4,77169.0,115650,0.6672632944228275
5,14000,4,0.4,1.01,104859.0,124830,0.8400144196106705
5,72000,0,0.0,0.05,4222.0,20970,0.20133524082021936
5,72000,1,0.05,0.1,14940.0,47250,0.3161904761904762
5,72000,2,0.1,0.2,42480.0,91710,0.4631992149165849
5,72000,3,0.2,0.4,69971.0,115740,0.6045533091411786
5,72000,4,0.4,1.01,107406.0,139050,0.7724271844660194
5,143000,0,0.0,0.05,3977.0,19530,0.20363543266769074
5,143000,1,0.05,0.1,13857.0,44190,0.3135777325186694
5,143000,2,0.1,0.2,41669.0,94230,0.44220524249177545
5,143000,3,0.2,0.4,68823.0,116460,0.5909582689335394
5,143000,4,0.4,1.01,107837.0,140310,0.7685624688190436
6,14000,0,0.0,0.05,5415.0,19440,0.2785493827160494
6,14000,1,0.05,0.1,20105.0,49770,0.4039582077556761
6,14000,2,0.1,0.2,49669.0,94860,0.5236032047227493
6,14000,3,0.2,0.4,83897.0,122850,0.6829222629222629
6,14000,4,0.4,1.01,109528.0,127800,0.8570266040688576
6,72000,0,0.0,0.05,3850.0,17010,0.22633744855967078
6,72000,1,0.05,0.1,13996.0,42750,0.32739181286549707
6,72000,2,0.1,0.2,41645.0,91980,0.4527614698847576
6,72000,3,0.2,0.4,75477.0,121680,0.6202909270216963
6,72000,4,0.4,1.01,112795.0,141300,0.7982661004953998
6,143000,0,0.0,0.05,3636.0,18270,0.19901477832512315
6,143000,1,0.05,0.1,14608.0,46980,0.31094082588335464
6,143000,2,0.1,0.2,42595.0,98370,0.4330080309037308
6,143000,3,0.2,0.4,68718.0,114300,0.6012073490813649
6,143000,4,0.4,1.01,107760.0,136800,0.787719298245614
8,14000,0,0.0,0.05,5698.0,20880,0.2728927203065134
8,14000,1,0.05,0.1,18101.0,48150,0.37592938733125647
8,14000,2,0.1,0.2,50947.0,97920,0.5202920751633987
8,14000,3,0.2,0.4,79731.0,116730,0.6830377794911334
8,14000,4,0.4,1.01,110952.0,131040,0.8467032967032967
8,72000,0,0.0,0.05,5174.0,20880,0.24779693486590038
8,72000,1,0.05,0.1,15997.0,46440,0.3444659776055125
8,72000,2,0.1,0.2,47450.0,98370,0.48236250889498833
8,72000,3,0.2,0.4,76372.0,118890,0.6423753049036924
8,72000,4,0.4,1.01,103228.0,130140,0.7932073151990164
8,143000,0,0.0,0.05,4251.0,19980,0.21276276276276276
8,143000,1,0.05,0.1,13343.0,42300,0.3154373522458629
8,143000,2,0.1,0.2,41188.0,93690,0.43962002348169493
8,143000,3,0.2,0.4,71307.0,119340,0.5975113122171946
8,143000,4,0.4,1.01,108401.0,139410,0.7775697582669823
