target_id,run_id,step,progress,layer,target_kl,target_nll_damage,selected_beta,match_class,absolute_kl_error,relative_kl_error,absolute_nll_error,relative_nll_error,achieved_kl,achieved_nll_damage,activation_relative_magnitude,activation_absolute_rms,objective,boundary_selected,trial_count,verification_kl_difference,verification_nll_difference,noise_s,noise_ds,baseline_nll,intervened_nll,reveal_nll_damage,reveal_kl,tokens_across_directions,confidence_bins,block_s,block_ds,block_kl,block_nll_damage,family_residual,reveal_kl_difference,reveal_nll_difference
r2_s14000_l1,2,14000,0.0979020979020979,1,0.5876143508487278,0.6313015884823269,0.610086654353,A,0.0059539786091558,0.0101324594958342,0.0071868013452599,0.0113841014760091,0.581660372239572,0.6384883898275868,0.6100867832148517,0.6680989199214511,0.0232264501851555,False,21,0.0,0.0,0.5877459490740741,0.41225405092592593,3.8640434741973877,4.5025318640249745,0.6384883898275868,0.581660372239572,13824,"[{'low': 0.0, 'high': 0.05, 'count': 771, 'agreement': 0.24773022049286642}, {'low': 0.05, 'high': 0.1, 'count': 1662, 'agreement': 0.33212996389891697}, {'low': 0.1, 'high': 0.2, 'count': 3321, 'agreement': 0.47034025895814513}, {'low': 0.2, 'high': 0.4, 'count': 3831, 'agreement': 0.6081962933959801}, {'low': 0.4, 'high': 1.01, 'count': 4239, 'agreement': 0.8233073838169379}]",0.5939670138888888,0.4060329861111111,0.5876143508487278,0.6313015884823269,0.006221064814814825,0.0,0.0
r2_s14000_l2,2,14000,0.0979020979020979,2,0.6941122081544665,0.7525731987423366,0.667777390647,A,0.0019050063910306,0.0027445222381162,0.0026323000590003,0.0034977329293627,0.6960172145454971,0.7499408986833362,0.6677773859765794,0.8201675415039062,0.0019766537960716,False,21,0.0,0.0,0.5533854166666666,0.44661458333333337,3.8640434741973877,4.613984372880724,0.7499408986833362,0.6960172145454971,13824,"[{'low': 0.0, 'high': 0.05, 'count': 771, 'agreement': 0.20492866407263294}, {'low': 0.05, 'high': 0.1, 'count': 1662, 'agreement': 0.33634175691937424}, {'low': 0.1, 'high': 0.2, 'count': 3321, 'agreement': 0.4366154772658838}, {'low': 0.2, 'high': 0.4, 'count': 3831, 'agreement': 0.5776559645001305}, {'low': 0.4, 'high': 1.01, 'count': 4239, 'agreement': 0.7714083510261854}]",0.5553385416666666,0.4446614583333333,0.6941122081544665,0.7525731987423366,0.0019531250000000555,0.0,0.0
r2_s14000_l3,2,14000,0.0979020979020979,3,0.7652236223220825,0.7743501398298474,0.569293543783,A,0.0186797446674771,0.0244108311904548,0.0176118568137839,0.022744048083508,0.7465438776546054,0.7919619966436313,0.5692934967853405,0.8291538136976736,0.1113180402636701,False,21,0.0,0.0,0.5580150462962963,0.4419849537037037,3.8640434741973877,4.656005470841019,0.7919619966436313,0.7465438776546054,13824,"[{'low': 0.0, 'high': 0.05, 'count': 771, 'agreement': 0.2243839169909209}, {'low': 0.05, 'high': 0.1, 'count': 1662, 'agreement': 0.309265944645006}, {'low': 0.1, 'high': 0.2, 'count': 3321, 'agreement': 0.4456489009334538}, {'low': 0.2, 'high': 0.4, 'count': 3831, 'agreement': 0.5875750456799791}, {'low': 0.4, 'high': 1.01, 'count': 4239, 'agreement': 0.7775418730832744}]",0.523654513888889,0.4763454861111111,0.7652236223220825,0.7743501398298474,-0.034360532407407385,0.0,0.0
r2_s14000_l4,2,14000,0.0979020979020979,4,0.262666051586469,0.2992361386617024,0.367257583746,A,0.0104497654570474,0.0397834641891953,0.0130830164308897,0.0437213783380519,0.2731158170435164,0.2861531222308127,0.3672577683572416,0.5544734707585087,0.3494282946696885,False,21,0.0,0.0,0.7180989583333334,0.28190104166666663,3.8640434741973877,4.1501965964282,0.2861531222308127,0.2731158170435164,13824,"[{'low': 0.0, 'high': 0.05, 'count': 771, 'agreement': 0.324254215304799}, {'low': 0.05, 'high': 0.1, 'count': 1662, 'agreement': 0.4981949458483754}, {'low': 0.1, 'high': 0.2, 'count': 3321, 'agreement': 0.609153869316471}, {'low': 0.2, 'high': 0.4, 'count': 3831, 'agreement': 0.7637692508483425}, {'low': 0.4, 'high': 1.01, 'count': 4239, 'agreement': 0.9200283085633404}]",0.7046440972222222,0.2953559027777778,0.262666051586469,0.2992361386617024,-0.01345486111111116,0.0,0.0
r2_s14000_l5,2,14000,0.0979020979020979,5,0.3018526766035292,0.3676611582438154,0.4390636269,B,0.022580145685761,0.074805186224485,0.0295605924394397,0.0804017279947646,0.3244328222892902,0.3381005658043756,0.4390638525839205,0.7019227743148804,1.2060253750696237,False,21,0.0,0.0,0.6876446759259259,0.31235532407407407,3.8640434741973877,4.202144040001763,0.33810056580437564,0.32443282228929027,13824,"[{'low': 0.0, 'high': 0.05, 'count': 771, 'agreement': 0.30739299610894943}, {'low': 0.05, 'high': 0.1, 'count': 1662, 'agreement': 0.42839951865222625}, {'low': 0.1, 'high': 0.2, 'count': 3321, 'agreement': 0.5639867509786209}, {'low': 0.2, 'high': 0.4, 'count': 3831, 'agreement': 0.7345340642129993}, {'low': 0.4, 'high': 1.01, 'count': 4239, 'agreement': 0.9129511677282378}]",0.6794704861111112,0.3205295138888889,0.3018526766035292,0.3676611582438154,-0.008174189814814825,5.551115123125783e-17,5.551115123125783e-17
r2_s14000_l6,2,14000,0.0979020979020979,6,0.1849737829632229,0.2089083989461266,0.327424162539,A,0.0014247701123908,0.007702551624121,0.0016254848904081,0.0077808498777474,0.1863985530756138,0.2072829140557184,0.3274243727878288,0.5557078763290688,0.0119870926343514,False,21,0.0,0.0,0.7652633101851852,0.23473668981481477,3.8640434741973877,4.071326388253106,0.20728291405571841,0.1863985530756138,13824,"[{'low': 0.0, 'high': 0.05, 'count': 771, 'agreement': 0.3981841763942931}, {'low': 0.05, 'high': 0.1, 'count': 1662, 'agreement': 0.5421179302045728}, {'low': 0.1, 'high': 0.2, 'count': 3321, 'agreement': 0.664257753688648}, {'low': 0.2, 'high': 0.4, 'count': 3831, 'agreement': 0.8159749412685983}, {'low': 0.4, 'high': 1.01, 'count': 4239, 'agreement': 0.9528190610993159}]",0.7400173611111112,0.2599826388888889,0.1849737829632229,0.2089083989461266,-0.025245949074074125,0.0,2.7755575615628914e-17
r2_s14000_l7,2,14000,0.0979020979020979,7,0.2531785782840516,0.2360346847110325,0.37826727059,B,0.020701503864041,0.0817664116935414,0.0159363040217644,0.0675167890736359,0.2324770744200106,0.251970988732797,0.3782673754073955,0.7301998182579323,1.1244262888142993,False,21,0.0,0.0,0.7401620370370371,0.2598379629629629,3.8640434741973877,4.116014462930185,0.251970988732797,0.23247707442001062,13824,"[{'low': 0.0, 'high': 0.05, 'count': 771, 'agreement': 0.3540856031128405}, {'low': 0.05, 'high': 0.1, 'count': 1662, 'agreement': 0.5246690734055355}, {'low': 0.1, 'high': 0.2, 'count': 3321, 'agreement': 0.6368563685636857}, {'low': 0.2, 'high': 0.4, 'count': 3831, 'agreement': 0.7825632993996345}, {'low': 0.4, 'high': 1.01, 'count': 4239, 'agreement': 0.9374852559565935}]",0.7081163194444443,0.2918836805555556,0.2531785782840516,0.2360346847110325,-0.03204571759259267,2.7755575615628914e-17,0.0
r2_s14000_l9,2,14000,0.0979020979020979,9,0.210194620821211,0.2148643864525687,0.370729772479,A,0.0003758409508952,0.0017880616993197,7.255872090597415e-05,0.0003376954278165,0.2105704617721063,0.2147918277316627,0.3707297698215202,0.9034723595336632,0.0003311202842574,False,21,0.0,0.0,0.7574508101851852,0.24254918981481477,3.8640434741973877,4.07883530192905,0.21479182773166272,0.2105704617721063,13824,"[{'low': 0.0, 'high': 0.05, 'count': 771, 'agreement': 0.3722438391699092}, {'low': 0.05, 'high': 0.1, 'count': 1662, 'agreement': 0.5354993983152828}, {'low': 0.1, 'high': 0.2, 'count': 3321, 'agreement': 0.6492020475760313}, {'low': 0.2, 'high': 0.4, 'count': 3831, 'agreement': 0.8123205429391803}, {'low': 0.4, 'high': 1.01, 'count': 4239, 'agreement': 0.9497523000707714}]",0.7194010416666666,0.2805989583333333,0.210194620821211,0.2148643864525687,-0.038049768518518545,0.0,2.7755575615628914e-17
r2_s14000_l10,2,14000,0.0979020979020979,10,0.2904930694235696,0.3209444946712916,0.467887361263,A,0.008793564306365,0.0302711673079981,0.0103565322028267,0.03226891993708,0.2992866337299347,0.3105879624684649,0.4678874523551375,1.35675369810175,0.1957626764107295,False,21,0.0,0.0,0.6911168981481481,0.30888310185185186,3.8640434741973877,4.174631436665853,0.3105879624684649,0.2992866337299347,13824,"[{'low': 0.0, 'high': 0.05, 'count': 771, 'agreement': 0.27496757457846954}, {'low': 0.05, 'high': 0.1, 'count': 1662, 'agreement': 0.41696750902527074}, {'low': 0.1, 'high': 0.2, 'count': 3321, 'agreement': 0.5663956639566395}, {'low': 0.2, 'high': 0.4, 'count': 3831, 'agreement': 0.7374053771861133}, {'low': 0.4, 'high': 1.01, 'count': 4239, 'agreement': 0.9301722104269875}]",0.6929253472222222,0.3070746527777778,0.2904930694235696,0.3209444946712916,0.00180844907407407,0.0,0.0
r2_s72000_l1,2,72000,0.5034965034965035,1,0.9493300782309636,0.9494883219401044,0.708203932499,A,0.0193914108806185,0.020426415769669,0.018659167819553,0.0196518139174232,0.9299386673503452,0.9681474897596574,0.7082039537253203,0.5608290875399554,0.0803432251442107,False,21,0.0,0.0,0.5173611111111112,0.48263888888888884,3.726160579257541,4.6943080690171985,0.9681474897596574,0.9299386673503451,13824,"[{'low': 0.0, 'high': 0.05, 'count': 645, 'agreement': 0.19224806201550387}, {'low': 0.05, 'high': 0.1, 'count': 1551, 'agreement': 0.2940038684719536}, {'low': 0.1, 'high': 0.2, 'count': 3078, 'agreement': 0.3713450292397661}, {'low': 0.2, 'high': 0.4, 'count': 4017, 'agreement': 0.5252676126462534}, {'low': 0.4, 'high': 1.01, 'count': 4533, 'agreement': 0.7321861901610413}]",0.5164930555555556,0.4835069444444444,0.9493300782309636,0.9494883219401044,-0.0008680555555555802,-1.1102230246251565e-16,0.0
