target_id,run_id,step,progress,layer,target_kl,target_nll_damage,selected_beta,match_class,absolute_kl_error,relative_kl_error,absolute_nll_error,relative_nll_error,achieved_kl,achieved_nll_damage,activation_relative_magnitude,activation_absolute_rms,objective,boundary_selected,trial_count,verification_kl_difference,verification_nll_difference
r2_s14000_l1,2,14000,0.0979020979020979,1,0.5876143508487278,0.6313015884823269,0.610086654353,A,0.005953978609155808,0.010132459495834259,0.007186801345259952,0.011384101476009134,0.581660372239572,0.6384883898275868,0.6100867832148517,0.6680989199214511,0.02322645018515552,False,21,0.0,0.0
r2_s14000_l2,2,14000,0.0979020979020979,2,0.6941122081544665,0.7525731987423366,0.667777390647,A,0.0019050063910306392,0.0027445222381162295,0.002632300059000392,0.003497732929362705,0.6960172145454971,0.7499408986833362,0.6677773859765794,0.8201675415039062,0.0019766537960716943,False,21,0.0,0.0
r2_s14000_l3,2,14000,0.0979020979020979,3,0.7652236223220825,0.7743501398298474,0.569293543783,A,0.018679744667477127,0.024410831190454826,0.017611856813783966,0.02274404808350804,0.7465438776546054,0.7919619966436313,0.5692934967853405,0.8291538136976736,0.11131804026367012,False,21,0.0,0.0
r2_s14000_l4,2,14000,0.0979020979020979,4,0.262666051586469,0.29923613866170246,0.367257583746,A,0.0104497654570474,0.03978346418919531,0.013083016430889771,0.0437213783380519,0.2731158170435164,0.2861531222308127,0.3672577683572416,0.5544734707585087,0.34942829466968856,False,21,0.0,0.0
r2_s14000_l5,2,14000,0.0979020979020979,5,0.3018526766035292,0.3676611582438154,0.4390636269,B,0.022580145685761055,0.07480518622448501,0.02956059243943976,0.08040172799476462,0.32443282228929027,0.33810056580437564,0.4390638525839205,0.7019227743148804,1.2060253750696237,False,21,0.0,0.0
r2_s14000_l6,2,14000,0.0979020979020979,6,0.1849737829632229,0.2089083989461266,0.327424162539,A,0.001424770112390894,0.007702551624121074,0.0016254848904081742,0.007780849877747492,0.1863985530756138,0.20728291405571841,0.3274243727878288,0.5557078763290688,0.011987092634351442,False,21,0.0,0.0
r2_s14000_l7,2,14000,0.0979020979020979,7,0.25317857828405166,0.23603468471103253,0.37826727059,B,0.020701503864041043,0.08176641169354144,0.015936304021764464,0.06751678907363594,0.23247707442001062,0.251970988732797,0.3782673754073955,0.7301998182579323,1.1244262888142993,False,21,0.0,0.0
r2_s14000_l8,2,14000,0.0979020979020979,8,0.24400135709179774,0.33424403932359475,0.419103648728,C,0.025634353359540313,0.10505824092523856,0.045431075272736876,0.1359218712307906,0.26963571045133805,0.2888129640508579,0.41910360919104683,0.9027595078503644,2.95119890653861,False,21,0.0,0.0
r2_s14000_l9,2,14000,0.0979020979020979,9,0.21019462082121107,0.2148643864525687,0.370729772479,A,0.00037584095089523983,0.0017880616993197814,7.255872090597415e-05,0.00033769542781653014,0.2105704617721063,0.21479182773166272,0.3707297698215202,0.9034723595336631,0.00033112028425740165,False,21,0.0,0.0
r2_s14000_l10,2,14000,0.0979020979020979,10,0.2904930694235696,0.32094449467129166,0.467887361263,A,0.008793564306365076,0.030271167307998177,0.010356532202826785,0.032268919937080025,0.2992866337299347,0.3105879624684649,0.46788745235513757,1.35675369810175,0.19576267641072956,False,21,0.0,0.0
r2_s72000_l1,2,72000,0.5034965034965035,1,0.9493300782309637,0.9494883219401044,0.708203932499,A,0.019391410880618576,0.020426415769669092,0.018659167819553013,0.01965181391742322,0.9299386673503451,0.9681474897596574,0.7082039537253203,0.5608290875399554,0.08034322514421074,False,21,0.0,0.0
r2_s72000_l2,2,72000,0.5034965034965035,2,0.92882463004854,0.9390635490417482,0.699480193099,A,0.015451230384685433,0.01663525049272361,0.015084814142297787,0.016063677647455032,0.9133733996638546,0.954148363184046,0.6994801406507138,0.6275272545991121,0.05347732985181528,False,21,0.0,0.0
r2_s72000_l3,2,72000,0.5034965034965035,3,0.8842032485538058,0.8943626085917153,0.44408862564,A,0.012706200281778934,0.014370225740005706,0.01330193766841159,0.014873092346002998,0.8714970482720269,0.9076645462601269,0.44408859919618676,0.484436508682039,0.04277122637524172,False,21,0.0,0.0
r2_s72000_l4,2,72000,0.5034965034965035,4,0.3037220537662506,0.3406482802497017,0.271469520611,B,0.016215846494392117,0.05339041499705749,0.017228506229541807,0.050575644230061605,0.3199379002606427,0.32341977402015987,0.27146957759503965,0.2963550863442598,0.5408432202877571,False,21,0.0,0.0
r2_s72000_l5,2,72000,0.5034965034965035,5,0.3947205775313907,0.46446243921915703,0.344645089413,B,0.030431922939088585,0.07709738146750494,0.037855775267990055,0.08150449222880275,0.4251525004704793,0.426606663951167,0.34464501230805006,0.3961713060184761,1.2586988482679657,False,21,0.0,0.0
r2_s72000_l6,2,72000,0.5034965034965035,6,0.2554864916536543,0.2966276009877524,0.273982019981,B,0.015385499155079918,0.060220401694962324,0.01848768304895465,0.0623262399969842,0.2708719908087342,0.2781399179387978,0.27398208114835954,0.3302305451145879,0.7511056972518872,False,21,0.0,0.0
r2_s72000_l7,2,72000,0.5034965034965035,7,0.3825724124908447,0.3660224808586971,0.341906038116,A,0.009326019772776861,0.02437713611400473,0.007903399290861757,0.021592660845035007,0.37324639271806787,0.37392588014955885,0.3419060497372239,0.4628017754466445,0.10604877674950755,False,21,0.0,0.0
r2_s72000_l8,2,72000,0.5034965034965035,8,0.371453324953715,0.5048611164093016,0.378860391235,C,0.04959116600177904,0.1335057803233417,0.08039185735914456,0.15923558924631054,0.42104449095549407,0.4244692590501571,0.3788605001237657,0.6111141708162096,4.31797662625605,False,21,0.0,0.0
r2_s72000_l9,2,72000,0.5034965034965035,9,0.3535401688681708,0.3771826161278618,0.37324227185,A,0.011662516329023598,0.03298781116252555,0.01296833709434192,0.03438211767933488,0.3652026851971944,0.3642142790335199,0.3732422336384102,0.7235322793324789,0.2270325701422501,False,21,0.0,0.0
r2_s72000_l10,2,72000,0.5034965034965035,10,0.5688886642456055,0.5656325022379556,0.52014326253,A,0.003988382992921036,0.007010832248174533,0.004603845101815551,0.008139286698681653,0.5649002812526844,0.5702363473397711,0.5201431159619931,1.2202291091283162,0.01153997567757871,False,21,0.0,0.0
r2_s143000_l1,2,143000,1.0,1,1.0257128013504875,1.0317671828799777,0.734741719419,A,0.004545688629150169,0.004431736274677212,0.004178223786531099,0.004049580036907502,1.0211671127213373,1.0359454066665088,0.7347417694550974,0.2938111192650265,0.0036039384883679703,False,21,0.0,0.0
r2_s143000_l2,2,143000,1.0,2,1.2016478247112696,1.209634330537584,0.75,A,0.00231602898350447,0.0019273775026880566,0.004703821959319177,0.0038886313330945407,1.1993317957277652,1.2143381524969032,0.7499998322239628,0.3448107827592779,0.001883623768262386,False,21,0.0,0.0
r2_s143000_l3,2,143000,1.0,3,1.250755018658108,1.227257172266642,0.48739423558,A,0.028612441486782325,0.02287613566200738,0.02454439798990915,0.019999392584162032,1.2221425771713257,1.2518015702565513,0.48739418718549943,0.27847278118133545,0.09232932865634896,False,21,0.0,0.0
r2_s143000_l4,2,143000,1.0,4,0.39459201362397933,0.4097302754720051,0.28795731005,A,0.015627579556571125,0.03960439901711643,0.015217401363231076,0.03714004620640651,0.41021959318055046,0.394512874108774,0.28795741664038765,0.16681540785012422,0.2947891453735666,False,21,0.0,0.0
r2_s143000_l5,2,143000,1.0,5,0.5600684947437711,0.6294175518883601,0.388543819998,B,0.03836231099234677,0.06849574891697643,0.040881563116002995,0.06495141896390778,0.5984308057361178,0.5885359887723571,0.3885438387040739,0.2402124923688394,0.8910354445152714,False,21,0.0,0.0
r2_s143000_l6,2,143000,1.0,6,0.3667832811673482,0.39757010671827525,0.324685111242,A,0.017425740206683138,0.047509636074946876,0.01908275816175714,0.047998473323930015,0.38420902137403135,0.3784873485565181,0.3246852225727505,0.2112904566305655,0.4561018961425812,False,21,0.0,0.0
r2_s143000_l7,2,143000,1.0,7,0.6537510553995768,0.5878107017940946,0.452812365041,B,0.038563377327389126,0.058987862442164564,0.022694799635145202,0.03860902764416903,0.6151876780721877,0.6105055014292398,0.4528125027815501,0.36099597811698914,0.4970224931139653,False,21,0.0,0.0
r2_s143000_l8,2,143000,1.0,8,0.39108974072668284,0.48765325546264665,0.387217561918,C,0.04006020228068036,0.10243225047566364,0.05753686692979593,0.11798725074662228,0.4311499430073632,0.4301163885328507,0.3872175426394851,0.35816209404556837,2.4413357276366154,False,21,0.0,0.0
r2_s143000_l9,2,143000,1.0,9,0.36895714203516644,0.36736673778957796,0.365704773739,A,0.0005036868430950414,0.0013651635534559414,0.00027230933860522555,0.0007412465816664625,0.3684534551920714,0.3676390471281832,0.3657046655813853,0.38478541043069625,0.00024131180225297615,False,21,0.0,0.0
r2_s143000_l10,2,143000,1.0,10,1.0224928392304313,1.0224942366282146,0.73488173621,A,0.002077228493160499,0.0020315335359432658,0.0017181855660897138,0.0016803865533305462,1.0204156107372708,1.0242124221943043,0.7348818492006373,0.8059203757180108,0.0006950827476289857,False,21,0.0,0.0
