layer,count,unique_runs,old_mean,old_median,corrected_mean,corrected_median,corrected_ci95_low,corrected_ci95_high,low_support
1,15,5,0.0009645061728395334,0.0,0.0036410108024691355,0.00209780092592593,7.233796296298722e-05,0.006192129629629594,False
2,15,5,-0.011226851851851793,-0.0117910879629629,-0.008449074074074074,-0.0077401620370370905,-0.01299189814814813,-0.0019675925925926154,False
3,10,4,-0.028573495370370322,-0.029224537037037,-0.026208043981481487,-0.0287905092592593,-0.04076244212962968,-0.0070167824074074125,False
4,14,5,-0.03964637070105818,-0.0355541087962963,-0.037894758597883604,-0.03370949074074073,-0.04675925925925929,-0.027039930555555546,False
5,9,4,-0.03177244084362133,-0.0329861111111111,-0.02697402263374487,-0.03139467592592593,-0.032642505787037035,-0.026068793402777797,False
6,8,5,-0.03576208043981477,-0.0372902199074073,-0.03408022280092592,-0.03587962962962962,-0.04237557870370372,-0.028255208333333316,False
7,3,2,-0.04841820987654324,-0.0452112268518519,-0.0458863811728395,-0.04521122685185186,,,True
8,8,3,-0.019883897569444375,-0.01468460648148145,-0.016140407986111122,-0.014467592592592615,-0.030020254629629622,-0.012876157407407413,False
9,12,5,-0.025896990740740655,-0.02582465277777765,-0.022442853009259245,-0.02398003472222221,-0.03038194444444442,-0.011067708333333297,False
10,9,4,0.012016139403292147,0.0144675925925926,0.01770672582304527,0.023365162037037035,0.012405960648148168,0.032443576388888895,False
