target_id,run_id,step,layer,match_class,selected_beta,family,kl,nll_damage,delta_b_mean,delta_b_median,delta_b_q10,delta_b_q25,delta_b_q75,delta_b_q90,delta_margin_mean,delta_margin_identity_max_abs,logit_delta_norm_mean,logit_delta_norm_median,cosine_alignment_mean,abs_cosine_alignment_mean,intact_margin_mean,intact_margin_median,intact_margin_std,intact_margin_q10,intact_margin_q25,intact_margin_q75,intact_margin_q90,baseline_nll
r2_s14000_l1,2,14000,1,A,0.610086654353,block,0.5876143508487277,0.6313015884823265,-0.13787978887557983,-0.109375,-1.8671875,-0.890625,0.6845703125,1.5441405773162842,-0.13787978887557983,0.0,243.5110626220703,218.63320922851562,-0.0003319514507893473,0.0032270788215100765,1.3771607875823975,0.8046875,1.6030001124377622,0.1171875,0.328125,1.7265625,3.481250047683716,3.8640434741973877
r2_s14000_l1,2,14000,1,A,0.610086654353,noise,0.581660372239572,0.6384883898275868,-0.30280357599258423,-0.2109375,-2.03125,-1.0546875,0.53125,1.34375,-0.30280357599258423,0.0,242.9678497314453,236.2255096435547,-0.000825416820589453,0.003155624959617853,1.3771607875823975,0.8046875,1.6030001124377622,0.1171875,0.328125,1.7265625,3.481250047683716,3.8640434741973877
r2_s14000_l2,2,14000,2,A,0.667777390647,block,0.6941122081544664,0.7525731987423363,-0.26186659932136536,-0.205078125,-2.1011719703674316,-1.0830078125,0.5859375,1.4609375,-0.26186659932136536,0.0,267.0230712890625,256.29296875,-0.0006556969019584358,0.0030098543502390385,1.3771607875823975,0.8046875,1.6030001124377622,0.1171875,0.328125,1.7265625,3.481250047683716,3.8640434741973877
r2_s14000_l2,2,14000,2,A,0.667777390647,noise,0.6960172145454971,0.7499408986833362,-0.3800823986530304,-0.25,-2.359375,-1.1640625,0.53125,1.4140625,-0.3800823986530304,0.0,261.4975280761719,252.84201049804688,-0.0009370400803163648,0.0032187162432819605,1.3771607875823975,0.8046875,1.6030001124377622,0.1171875,0.328125,1.7265625,3.481250047683716,3.8640434741973877
r2_s14000_l3,2,14000,3,A,0.569293543783,block,0.7652236223220825,0.7743501398298474,-0.25167810916900635,-0.1953125,-2.1875,-1.1484375,0.6796875,1.640625,-0.25167810916900635,0.0,279.07080078125,266.72039794921875,-0.0005938038229942322,0.003118542954325676,1.3771607875823975,0.8046875,1.6030001124377622,0.1171875,0.328125,1.7265625,3.481250047683716,3.8640434741973877
r2_s14000_l3,2,14000,3,A,0.569293543783,noise,0.7465438776546054,0.7919619966436313,-0.2629562020301819,-0.146484375,-2.28515625,-1.0859375,0.6796875,1.6328125,-0.2629562020301819,0.0,297.6407470703125,277.15509033203125,-0.0005450486787594855,0.002933186013251543,1.3771607875823975,0.8046875,1.6030001124377622,0.1171875,0.328125,1.7265625,3.481250047683716,3.8640434741973877
r2_s14000_l4,2,14000,4,A,0.367257583746,block,0.262666051586469,0.2992361386617022,-0.2136213481426239,-0.1484375,-1.4140625,-0.6875,0.359375,0.899609386920929,-0.2136213481426239,0.0,163.35345458984375,149.95858764648438,-0.0007825760403648019,0.0032588252797722816,1.3771607875823975,0.8046875,1.6030001124377622,0.1171875,0.328125,1.7265625,3.481250047683716,3.8640434741973877
r2_s14000_l4,2,14000,4,A,0.367257583746,noise,0.2731158170435164,0.2861531222308127,-0.12099655717611313,-0.0703125,-1.28125,-0.6015625,0.421875,0.9765625,-0.12099655717611313,0.0,193.87530517578125,175.06991577148438,-0.00037079222965985537,0.0026682140305638313,1.3771607875823975,0.8046875,1.6030001124377622,0.1171875,0.328125,1.7265625,3.481250047683716,3.8640434741973877
r2_s14000_l5,2,14000,5,B,0.4390636269,block,0.3018526766035292,0.3676611582438154,-0.24095460772514343,-0.140625,-1.546875,-0.7705078125,0.40625,1.0234375,-0.24095460772514343,0.0,173.750732421875,166.265869140625,-0.0007862972561269999,0.0033345213159918785,1.3771607875823975,0.8046875,1.6030001124377622,0.1171875,0.328125,1.7265625,3.481250047683716,3.8640434741973877
r2_s14000_l5,2,14000,5,B,0.4390636269,noise,0.32443282228929027,0.33810056580437564,-0.10782603919506073,-0.0546875,-1.3984375,-0.6640625,0.5126953125,1.130468726158142,-0.10782603919506073,0.0,215.5602569580078,197.3543701171875,-0.00028163829119876027,0.002661881735548377,1.3771607875823975,0.8046875,1.6030001124377622,0.1171875,0.328125,1.7265625,3.481250047683716,3.8640434741973877
