target_id,run_id,step,layer,family,finite,kl_nondecreasing,nll_nondecreasing,kl_bracketed,nll_bracketed,kl_crossings,nll_crossings,alpha_min,alpha_max
r2_s14000_l4,2,14000,4,block,True,True,True,True,True,1,1,0.04590719796825,0.734515167492
r2_s14000_l4,2,14000,4,noise,True,True,True,True,True,1,1,0.04590719796825,0.734515167492
r2_s72000_l7,2,72000,7,block,True,True,True,True,True,1,1,0.0427382547645,0.683812076232
r2_s72000_l7,2,72000,7,noise,True,True,True,True,True,1,1,0.0427382547645,0.683812076232
r3_s72000_l5,3,72000,5,block,True,True,True,True,True,1,1,0.033647946646,0.538367146336
r3_s72000_l5,3,72000,5,noise,True,True,True,True,True,1,1,0.033647946646,0.538367146336
r3_s143000_l4,3,143000,4,block,True,True,True,True,True,1,1,0.047625790235875,0.762012643774
r3_s143000_l4,3,143000,4,noise,True,True,True,True,True,1,1,0.047625790235875,0.762012643774
r5_s14000_l3,5,14000,3,block,True,True,True,True,True,1,1,0.067992749769125,1.087883996306
r5_s14000_l3,5,14000,3,noise,True,True,True,True,True,1,1,0.067992749769125,1.087883996306
r5_s143000_l6,5,143000,6,block,True,True,True,True,True,1,1,0.039449350390375,0.631189606246
r5_s143000_l6,5,143000,6,noise,True,True,True,True,True,1,1,0.039449350390375,0.631189606246
r6_s72000_l4,6,72000,4,block,True,True,True,True,True,1,1,0.09114045000425,1.458247200068
r6_s72000_l4,6,72000,4,noise,True,True,True,True,True,1,1,0.09114045000425,1.458247200068
r6_s143000_l4,6,143000,4,block,True,True,True,True,True,1,1,0.09375,1.5
r6_s143000_l4,6,143000,4,noise,True,True,True,True,True,1,1,0.09375,1.5
r8_s14000_l4,8,14000,4,block,True,True,True,True,True,1,1,0.090706426412625,1.451302822602
r8_s14000_l4,8,14000,4,noise,True,True,True,True,True,1,1,0.090706426412625,1.451302822602
r8_s72000_l5,8,72000,5,block,True,True,True,True,True,1,1,0.03753665687175,0.600586509948
r8_s72000_l5,8,72000,5,noise,True,True,True,True,True,1,1,0.03753665687175,0.600586509948
