target_id,run_id,step,layer,selected_beta,target_kl,target_nll_damage,alpha_min,alpha_max,block_alpha,noise_alpha,block_alpha_multiplier,noise_alpha_multiplier,objective,block_kl,block_nll_damage,block_output_logit_norm,block_output_abs_cosine,block_hidden_relative_norm,noise_kl,noise_nll_damage,noise_output_logit_norm,noise_output_abs_cosine,noise_hidden_relative_norm,no_bracket,numerical_issue,pathological,boundary_selected,coordinate_converged,block_evaluations,noise_evaluations
r3_s14000_l1,3,14000,1,0.649370222483,0.6331983407338461,0.718385034137302,0.081171277810375,1.298740444966,0.562561171500962,0.6528962385766816,0.8663180910111555,1.005429901112803,0.32116624593217796,0.6885448694229126,0.7179417610168457,271.27606201171875,0.0032631319481879473,0.5625606775283813,0.6292654871940613,0.7303048769632978,254.33043416341147,0.003313762911905845,0.652896781762441,False,False,False,False,True,28,21
r3_s14000_l2,3,14000,2,0.592865727479,0.5016940666569604,0.5203430122799345,0.074108215934875,1.185731454958,0.45964431576332687,0.5993216119757684,0.7752924388425,1.0108892860517005,0.5119769048888666,0.49867764115333557,0.5315375328063965,238.23928833007812,0.0032905167900025845,0.4596439599990845,0.49658337235450745,0.615310986836751,227.36456807454428,0.0032532785553485155,0.5993214050928751,False,False,False,False,True,27,28
r3_s14000_l3,3,14000,3,0.723505480648,1.1653783188925848,1.2564765877193873,0.090438185081,1.447010961296,0.5897412344933216,0.6984818827307693,0.8151164714953176,0.9654133954938136,0.20862075384498188,1.1651042699813843,1.2702836990356445,304.6686706542969,0.0034813224337995052,0.5897417664527893,1.1431924899419148,1.274186611175537,340.6220703125,0.0031214841486265263,0.6984816392262777,False,False,False,False,True,24,20
r3_s14000_l4,3,14000,4,0.46204268995,0.4211405383216011,0.4601081477271185,0.05775533624375,0.9240853799,0.37866360890611017,0.4448560749906716,0.8195424733309542,0.9628029718180624,0.29695370040366165,0.43356865644454956,0.45996665954589844,212.399169921875,0.0031881455797702074,0.37866276502609253,0.39872793356577557,0.46068525314331055,231.73748779296875,0.0027545342842737832,0.44485654433568317,False,False,False,False,True,25,21
r3_s14000_l5,3,14000,5,0.390096630006,0.2574349194765091,0.303992615805732,0.04876207875075,0.780193260012,0.3179741885927052,0.38381046140302305,0.8151164714953177,0.9838856116165878,0.5596310461196716,0.25730887055397034,0.32207489013671875,174.23544311523438,0.0030794977210462093,0.3179745078086853,0.2580307175715764,0.26291990280151367,193.48311360677084,0.0027437566313892603,0.3838104208310445,False,False,False,False,True,27,28
r3_s14000_l8,3,14000,8,0.355654776257,0.1952278746498955,0.2021975252363418,0.044456847032125,0.711309552514,0.35182366769965995,0.36344260176224613,0.9892280131939754,1.0218971486541166,0.27196535569904456,0.21954059600830078,0.20062875747680664,187.97964477539062,0.002615753561258316,0.351823627948761,0.20643408099810281,0.20142269134521484,186.01249186197916,0.002587124860535065,0.36344224214553833,False,False,False,False,True,24,26
r3_s14000_l9,3,14000,9,0.371322893124,0.2099452780352698,0.2110987769232855,0.0464153616405,0.742645786248,0.3225559130180237,0.38254859229345733,0.8686669176368531,1.030231637686041,0.35729957169223875,0.23577874898910522,0.21030449867248535,181.42416381835938,0.002861593384295702,0.3225579857826233,0.21611500779787698,0.2106850941975913,192.99069213867188,0.0025660897760341563,0.38254881898562115,False,False,False,False,True,25,23
r3_s14000_l10,3,14000,10,0.443722056922,0.2584894531302982,0.2954315344492597,0.05546525711525,0.887444113844,0.3746427789909642,0.42953666066824864,0.8443185844530173,0.9680308967461472,0.5242676456277604,0.2576974034309387,0.29681873321533203,204.08541870117188,0.002996691968291998,0.37464383244514465,0.2607446511586507,0.2417067686716714,212.24414571126303,0.0025968669603268304,0.42953650156656903,False,False,False,False,True,21,25
r3_s72000_l1,3,72000,1,0.657500841239,0.8216641214158799,0.8519875208536782,0.082187605154875,1.315001682478,0.5280177726189902,0.6792147269772739,0.8030678282083855,1.0330248790212284,0.26965003675635946,0.8619440793991089,0.8494172096252441,313.89959716796875,0.0030700915958732367,0.5280170440673828,0.8734270731608073,0.8429811795552569,313.83202107747394,0.0030305449229975543,0.679214596748352,False,False,False,False,True,24,22
r3_s72000_l2,3,72000,2,0.68417864495,0.8010647826724583,0.798615190717909,0.08552233061875,1.3683572899,0.5079496767736889,0.68417864495,0.7424225829363762,1.0,0.2624272392909476,0.8214095830917358,0.7973847389221191,316.78533935546875,0.002975692506879568,0.5079495310783386,0.7982473969459534,0.8060226440429688,295.97157796223956,0.0031302794038007655,0.6841781934102377,False,False,False,False,True,24,23
r3_s72000_l3,3,72000,3,0.674128647469,1.7865699529647827,1.7594680786132812,0.084266080933625,1.348257294938,0.7193899149677939,0.6578997135871474,1.0671404006768237,0.975926058115489,0.19455463207092383,1.8212969303131104,1.747215747833252,406.5112609863281,0.0033585664350539446,0.7193890810012817,1.7843441565831502,1.8041659990946455,443.4083658854167,0.0030997556944688163,0.6578994194666544,False,False,False,False,True,24,22
r3_s72000_l4,3,72000,4,0.324685111242,0.420711682902442,0.4373422463734943,0.04058563890525,0.649370222484,0.3330323498802601,0.3326943763229011,1.0257087200775232,1.0246677928971357,0.1861862777012852,0.43918517231941223,0.4197845458984375,248.64425659179688,0.0029527065344154835,0.3330318331718445,0.43522919217745465,0.42084836959838867,256.6046193440755,0.0025472757406532764,0.3326944311459859,False,False,False,False,True,27,20
r3_s72000_l5,3,72000,5,0.269183573168,0.2777864734331767,0.2731298870510523,0.033647946646,0.538367146336,0.2522475702328137,0.28110134811947385,0.93708381705515,1.0442737824274138,0.22067220712985042,0.2779111862182617,0.28888392448425293,208.60519409179688,0.0023816186003386974,0.2522469758987427,0.2807559669017792,0.2687741120656333,208.7555694580078,0.0024986260881026587,0.28110135595003766,False,False,False,False,True,18,22
r3_s72000_l6,3,72000,6,0.349443536227,0.3916894363032446,0.4318052397833927,0.043680442028375,0.698887072454,0.4386846910460363,0.38365910302678435,1.255380757024691,1.0979144361037996,0.8067323967326423,0.5645273923873901,0.4320225715637207,260.6402893066406,0.0030194425489753485,0.4386826157569885,0.45187075932820636,0.43184614181518555,263.4417012532552,0.0025533183943480253,0.3836592336495717,False,False,False,False,True,25,26
r3_s72000_l8,3,72000,8,0.391466155654,0.3690718511740367,0.4042413499620223,0.04893326945675,0.782932311308,0.37690477802986344,0.38411647257436754,0.9628029718180625,0.9812252401044638,0.24458227088640222,0.3890204131603241,0.4029684066772461,256.99688720703125,0.002574032871052623,0.3769044280052185,0.3898945450782776,0.3798783620198565,257.0673116048177,0.0023988071673860154,0.3841165800889333,False,False,False,False,True,27,29
r3_s72000_l9,3,72000,9,0.368810393754,0.319050669670105,0.3441070450676811,0.04610129921925,0.737620787508,0.35126669957166834,0.3851390248840334,0.9524316709088371,1.0442737824274138,0.3415935010817272,0.3607148230075836,0.34193921089172363,233.23562622070312,0.002525371965020895,0.35126668214797974,0.34777774413426715,0.3424483935038247,251.0128173828125,0.0023811643477529287,0.38513949513435364,False,False,False,False,True,25,26
r3_s72000_l10,3,72000,10,0.492052665603,0.4807328250673082,0.5195619265238443,0.061506583200375,0.984105331206,0.4487774665624985,0.46864654247541254,0.9120516927035267,0.9524316709088371,0.34400325757330913,0.48080021142959595,0.5061020851135254,275.78521728515625,0.002835883293300867,0.44878071546554565,0.4804920752843221,0.4505875905354815,295.3457845052083,0.002448958499977986,0.468646506468455,False,False,False,False,True,23,27
r3_s143000_l1,3,143000,1,0.692902384351,0.8428021934297351,0.8603199587927923,0.086612798043875,1.385804768702,0.550453566616108,0.709034214112059,0.794417192158582,1.023281533049087,0.37619062510590456,0.844368577003479,0.9293920993804932,786.7745971679688,0.00155893643386662,0.5504538416862488,0.8425317406654358,0.8638714949289961,940.9656168619791,0.0012949932909881075,0.7090341250101725,False,False,False,False,True,27,22
r3_s143000_l2,3,143000,2,0.754475145664,0.9341029723485312,0.9460280471377904,0.094309393208,1.508950291328,0.5571143107890537,0.7466005941403917,0.7384130729697497,0.9895628748423806,0.32596016255968996,0.9319692850112915,0.9525034427642822,971.1263427734375,0.0013035133015364408,0.5571144819259644,0.9102861881256104,0.96129568417867,804.6943969726562,0.0016852224944159389,0.7466004093488058,False,False,False,False,True,22,25
r3_s143000_l3,3,143000,3,0.681526128789,1.7876547045177882,1.8058287567562523,0.085190766098625,1.363052257578,0.7417018058299273,0.6615270817344986,1.0882954805384397,0.9706554947643202,0.23390663354785665,1.7894127368927002,1.8036043643951416,1028.2373046875,0.0018171891570091248,0.7417015433311462,1.7844191392262776,1.889663139979045,1199.797383626302,0.0019658134939769902,0.6615269581476847,False,False,False,False,True,22,24
r3_s143000_l4,3,143000,4,0.381006321887,0.5821225576930575,0.6313434176974825,0.047625790235875,0.762012643774,0.37997610216153627,0.3935890095736414,0.9972960560854702,1.0330248790212284,0.27858175931486734,0.5543675422668457,0.6477091312408447,775.3712158203125,0.002053419826552272,0.3799758851528168,0.6019613941510519,0.6282234986623125,724.4070231119791,0.0018203217769041657,0.3935890197753906,False,False,False,False,True,29,24
r3_s143000_l5,3,143000,5,0.391832724372,0.519927226834827,0.5389819410112168,0.0489790905465,0.783665448744,0.2825123748125647,0.391832724372,0.7210025024463035,1.0,0.29377354994626764,0.5220636129379272,0.5316317081451416,788.3778076171875,0.0017765648663043976,0.28251057863235474,0.5222770174344381,0.5311025778452558,656.9151000976562,0.001882626364628474,0.39183278878529865,False,False,False,False,True,26,21
r3_s143000_l8,3,143000,8,0.430339887499,0.4659952885574765,0.4829959604475231,0.053792485937375,0.860679774998,0.4642338003451304,0.4257042719087547,1.0787607977571199,0.9892280131939756,0.27144875226497867,0.5165768265724182,0.47924113273620605,829.6639404296875,0.0016916850581765175,0.46423235535621643,0.4731343587239583,0.47872217496236136,834.3184204101562,0.0013998954479272168,0.4257045090198517,False,False,False,False,True,24,18
r3_s143000_l10,3,143000,10,0.78055982873,0.971138185924954,1.0564743412865532,0.09756997859125,1.56111965746,0.7731976977516274,0.7474666527733648,0.99056814006128,0.9576032806985737,0.5324560511206236,0.970335841178894,1.0120375156402588,1251.25927734375,0.000918110366910696,0.7731986045837402,0.9705696503321329,0.95325509707133,2310.0259602864585,0.0005770554998889565,0.7474660078684489,False,False,False,False,True,30,22
