document_index,ind,source_id,split_type,activity_label,label,char_start,char_end_exclusive
0,24,activitynet~v_-JhWjGDPHMY,indomain,Roof shingle removal,3,0,67
1,92,activitynet~v_-lJS58hyo1c,zeroshot,Clean and jerk,3,69,182
2,106,activitynet~v_-xQvJmC2jhk,indomain,Canoeing,2,184,400
3,114,activitynet~v_-zHX3Gdx6I4,zeroshot,High jump,2,402,483
4,116,activitynet~v_-zHX3Gdx6I4,zeroshot,High jump,1,485,608
5,117,activitynet~v_-zHX3Gdx6I4,zeroshot,High jump,1,610,736
6,149,activitynet~v_0RUMAGGab1k,zeroshot,Playing harmonica,2,738,872
7,170,activitynet~v_0WVkoTBmhA0,indomain,Sumo,0,874,1023
8,180,activitynet~v_0bosp4-pyTM,zeroshot,Sharpening knives,1,1025,1187
9,182,activitynet~v_0bosp4-pyTM,zeroshot,Sharpening knives,1,1189,1371
10,185,activitynet~v_0bosp4-pyTM,zeroshot,Sharpening knives,3,1373,1561
11,186,activitynet~v_0bosp4-pyTM,zeroshot,Sharpening knives,3,1563,1755
12,187,activitynet~v_0bosp4-pyTM,zeroshot,Sharpening knives,2,1757,1935
13,188,activitynet~v_0bosp4-pyTM,zeroshot,Sharpening knives,2,1937,2134
14,192,activitynet~v_0dgmG3h9RLA,indomain,Playing bagpipes,0,2136,2288
15,200,activitynet~v_0hWGSkDnRHA,indomain,Playing water polo,3,2290,2496
16,225,activitynet~v_15vwVfNA99o,zeroshot,Having an ice cream,2,2498,2692
17,245,activitynet~v_1AZxtWKkRlo,indomain,Cheerleading,0,2694,2851
18,246,activitynet~v_1AZxtWKkRlo,indomain,Cheerleading,1,2853,3070
19,247,activitynet~v_1AZxtWKkRlo,indomain,Cheerleading,1,3072,3309
20,282,activitynet~v_1dM62Xpm9Ns,zeroshot,Sharpening knives,1,3311,3497
21,354,activitynet~v_2eep4G5Tgho,zeroshot,Cutting the grass,0,3499,3622
22,378,activitynet~v_2rA5pyel_NE,zeroshot,Having an ice cream,3,3624,3720
23,380,activitynet~v_2rA5pyel_NE,zeroshot,Having an ice cream,3,3722,3899
24,385,activitynet~v_33SI8z8PovA,zeroshot,Washing face,0,3901,4058
25,386,activitynet~v_33SI8z8PovA,zeroshot,Washing face,3,4060,4333
26,393,activitynet~v_3EuY86B4uTo,indomain,Paintball,0,4335,4451
27,398,activitynet~v_3HBAcaU552I,zeroshot,Gargling mouthwash,3,4453,4595
28,399,activitynet~v_3HBAcaU552I,zeroshot,Gargling mouthwash,1,4597,4789
29,400,activitynet~v_3HBAcaU552I,zeroshot,Gargling mouthwash,3,4791,4962
30,402,activitynet~v_3HBAcaU552I,zeroshot,Gargling mouthwash,1,4964,5109
31,478,activitynet~v_4U13LEMIdi4,zeroshot,Washing face,0,5111,5198
32,479,activitynet~v_4Xvn1xXvYdU,indomain,Archery,1,5200,5480
