pair_id,run_id,step,layer,beta,block_ds,noise_ds,family_residual,block_kl,noise_kl,block_nll_damage,noise_nll_damage,noise_m_rel,absolute_kl_gap,absolute_nll_gap,relative_kl_gap,relative_nll_gap,kl_caliper,nll_caliper
r2_s72000_l7,2,72000,7,0.35,0.3439670138888889,0.3083767361111111,-0.03559027777777779,0.3825724124908447,0.3886410020015858,0.3660224808586971,0.3900229577664975,0.3499999134628861,0.006068589510741074,0.024000476907800383,0.015737769589288957,0.06348950917918308,0.03856067072462153,0.037802271931259734
r2_s72000_l10,2,72000,10,0.5,0.37152777777777785,0.38483796296296297,0.01331018518518512,0.5688886642456055,0.5269592349176054,0.5656325022379556,0.5315805364538123,0.5000000132454766,0.041929429328000034,0.03405196578414327,0.07652417705037498,0.06206992549903003,0.05479239495816055,0.0548606519345884
r2_s143000_l1,2,143000,1,0.75,0.5190972222222222,0.5305989583333334,0.01150173611111116,1.0257128013504875,1.0787274992024458,1.0317671828799777,1.094633941297178,0.7500000397364298,0.05301469785195834,0.06286675841720024,0.05038365577581702,0.05912972646820659,0.10522201502764666,0.10632005620885779
r2_s143000_l2,2,143000,2,0.75,0.5579427083333333,0.5471643518518519,-0.0107783564814814,1.2016478247112696,1.1992548108100891,1.209634330537584,1.2138020109247278,0.7499998410542806,0.0023930139011805185,0.004167680387143768,0.001993428526233326,0.00343947997794366,0.12004513177606793,0.1211718170731156
r2_s143000_l3,2,143000,3,0.5,0.5813802083333333,0.537181712962963,-0.04419849537037024,1.250755018658108,1.2837687465879652,1.227257172266642,1.3147718376583524,0.5000001192092896,0.03301372792985724,0.08751466539171027,0.026051227755306473,0.06885418305609631,0.12672618826230367,0.12710145049624974
r2_s143000_l9,2,143000,9,0.35,0.33203125,0.3078703703703704,-0.024160879629629595,0.36895714203516644,0.3413929928232122,0.36736673778957796,0.3385827541351316,0.3500001706458904,0.027564149211954214,0.028783983654446343,0.07760721891711057,0.08154686414147784,0.03551750674291894,0.03529747459623548
r2_s143000_l10,2,143000,10,0.75,0.498046875,0.5285011574074074,0.03045428240740744,1.0224928392304315,1.05637921889623,1.0224942366282146,1.0605848012147125,0.7499998344315423,0.03388637966579844,0.038090564586497955,0.0326007360898409,0.036571405975939324,0.10394360290633307,0.10415395189214637
r3_s14000_l3,3,14000,3,0.75,0.5729166666666666,0.5653935185185186,-0.007523148148148029,1.1653783188925848,1.2420527383133217,1.2564765877193873,1.351174416365447,0.749999706391935,0.07667441942073694,0.0946978286460598,0.06369812268656407,0.07263075350010018,0.12037155286029533,0.13038255020424172
r3_s14000_l8,3,14000,8,0.35,0.25455729166666663,0.23842592592592593,-0.0161313657407407,0.19522787464989555,0.18674981042190833,0.2021975252363418,0.1990663828673188,0.35000010110713814,0.00847806422798722,0.00313114236902301,0.04439036393630759,0.015606399208964087,0.019098884253590194,0.020063195405183032
r3_s72000_l6,3,72000,6,0.35,0.35590277777777785,0.3181423611111111,-0.03776041666666674,0.39168943630324465,0.4069452131236041,0.43180523978339275,0.41646854082743323,0.34999985054687216,0.015255776820359446,0.015336698955959516,0.03820464546903834,0.03615978545247429,0.03993173247134244,0.0424136890305413
r3_s72000_l10,3,72000,10,0.5,0.3630642361111111,0.37666377314814814,0.013599537037037035,0.4807328250673082,0.5110823214054108,0.5195619265238443,0.5167417791154649,0.49999988410207963,0.030349496338102577,0.0028201474083793254,0.061199904933849844,0.005442704475584399,0.04959075732363595,0.051815185281965465
r3_s143000_l2,3,143000,2,0.75,0.5091145833333334,0.48929398148148145,-0.019820601851851916,0.9341029723485311,0.9064332754523665,0.9460280471377903,0.9449488940062345,0.7500000066227384,0.02766969689616461,0.0010791531315558212,0.03006699480023253,0.0011413710110095806,0.0920268123900449,0.09454884705720124
r3_s143000_l7,3,143000,7,0.35,0.3385416666666667,0.3064236111111111,-0.03211805555555558,0.32963044113583034,0.3575120755919704,0.3853916856977673,0.3658566121701841,0.34999999955848415,0.02788163445614006,0.019535073527583158,0.08115240660360337,0.05200696915512979,0.034357125836390036,0.03756241489339757
r5_s143000_l2,5,143000,2,0.75,0.5247395833333334,0.5054253472222222,-0.01931423611111116,1.0421509676509433,1.0395276259492945,1.0174618032243514,1.0334425767262776,0.7500000728501214,0.002623341701648796,0.01598077350192617,0.002520409932360632,0.015584123431727505,0.10408392968001189,0.10254521899753147
r5_s143000_l4,5,143000,4,0.5,0.5345052083333334,0.4934895833333333,-0.041015625000000056,1.0863103667895,1.0703767560146473,1.1163584656185574,1.0740066545980946,0.5000000573970653,0.01593361077485267,0.042351811020462815,0.014776005853014827,0.03867100569628781,0.10783435614020737,0.10951825601083261
r6_s14000_l5,6,14000,5,0.35,0.27973090277777773,0.27633101851851855,-0.0033998842592591894,0.26503551999727887,0.2809704956081178,0.2909433576795791,0.31492206785413945,0.3500001044185073,0.015934975610838953,0.02397871017456038,0.05836923094377381,0.07915523535068177,0.027300300780269838,0.03029327127668593
r6_s72000_l4,6,72000,4,0.75,0.6692708333333334,0.6223958333333334,-0.046875,1.7777680026160347,1.813276282063237,1.7505127059088814,1.8891847575152363,0.7499999933772616,0.03550827944720236,0.13867205160635487,0.01977601869109445,0.07619976824986996,0.17955221423396361,0.1819848731712059
r6_s143000_l3,6,143000,3,0.75,0.4893663194444445,0.5060763888888888,0.016710069444444364,0.8249830868509079,0.8748051921526591,0.8161831167009143,0.9017598099178739,0.7499998918286077,0.04982210530175113,0.0855766932169596,0.058621542361615445,0.09962693392299109,0.08498941395017835,0.08589714633093942
r6_s143000_l4,6,143000,4,0.75,0.697482638888889,0.6533564814814814,-0.04412615740740755,1.9717504978179932,1.912289588539689,1.937442382176717,2.005998991153858,0.7500000573970653,0.059460909278304275,0.068556608977141,0.03061807188196867,0.034769939495362286,0.19420200431788412,0.19717206866652878
r8_s14000_l4,8,14000,4,0.75,0.5716145833333334,0.5625,-0.00911458333333337,1.222296569082472,1.2656575838724773,1.2176927460564504,1.3292934276439525,0.7499999006589254,0.0433610147900052,0.11160068158750214,0.03485676352875744,0.08763351975741182,0.12439770764774748,0.12734930868502015
r8_s14000_l9,8,14000,9,0.35,0.2630208333333333,0.234302662037037,-0.028718171296296308,0.20558327767584061,0.19045554432604048,0.18868380122714568,0.18844412874292432,0.3500000801351335,0.015127733349800138,0.0002396724842213538,0.07639520425425307,0.0012710407539378156,0.019801941100094058,0.0188563964985035
r8_s72000_l7,8,72000,7,0.35,0.3346354166666667,0.28544560185185186,-0.049189814814814825,0.3421697583463457,0.33506903383466935,0.3360793325636123,0.3174667799914325,0.35000001390775043,0.007100724511676371,0.018612552572179752,0.020969633144574777,0.056958651316452155,0.033861939609050755,0.03267730562775224
r8_s72000_l9,8,72000,9,0.35,0.30273437500000006,0.28739872685185186,-0.015335648148148195,0.30478105942408246,0.3000325130091773,0.29945537779066306,0.2844170287803368,0.34999999183195607,0.00474854641490513,0.015038349010326246,0.015702512745490425,0.05151244977851525,0.03024067862166299,0.029193620328549996
r8_s72000_l10,8,72000,10,0.5,0.3070746527777778,0.36335358796296297,0.056278935185185175,0.4546317756175995,0.4895030226972368,0.48912805981106217,0.46863873799641936,0.5000001114827615,0.03487124707963729,0.020489321814642802,0.07386921262049505,0.042785617253603164,0.04720673991574181,0.04788833989037408
r8_s143000_l3,8,143000,3,0.75,0.4971788194444445,0.5033275462962963,0.0061487268518518046,0.9562838276227316,0.9358685502299556,0.9007845454745823,0.9681461828726311,0.7500002980232239,0.020415277392775932,0.06736163739804879,0.021578893572961257,0.07208575082667498,0.09460761889263436,0.09344653641736067
r8_s143000_l7,8,143000,7,0.35,0.3917100694444445,0.34063946759259256,-0.051070601851851916,0.45761813057793505,0.4586828494513477,0.47159806887308786,0.4559215086477775,0.34999998410542804,0.00106471887341264,0.015676560225310388,0.0023239500919802363,0.033803189938433245,0.04581504900146414,0.04637597887604327
