stage,run_id,step,status,target_file,raw_file,exclusion_reason
pilot,1,14000,completed,targets/pilot_targets.csv,raw/targeting_pilot/pythia-160m-seed1.json,
pilot,1,143000,completed,targets/pilot_targets.csv,raw/targeting_pilot/pythia-160m-seed1.json,
pilot,4,14000,completed,targets/pilot_targets.csv,raw/targeting_pilot/pythia-160m-seed4.json,
pilot,4,143000,completed,targets/pilot_targets.csv,raw/targeting_pilot/pythia-160m-seed4.json,
pilot_refined,1,14000,completed,targets/pilot_targets.csv,raw/targeting_pilot_refined/pythia-160m-seed1.json,
pilot_refined,1,143000,completed,targets/pilot_targets.csv,raw/targeting_pilot_refined/pythia-160m-seed1.json,
confirmatory,2,14000,completed,targets/confirmatory_targets.csv,raw/targeting_confirmatory/pythia-160m-seed2.json,
confirmatory,2,72000,completed,targets/confirmatory_targets.csv,raw/targeting_confirmatory/pythia-160m-seed2.json,
confirmatory,2,143000,completed,targets/confirmatory_targets.csv,raw/targeting_confirmatory/pythia-160m-seed2.json,
confirmatory,3,14000,completed,targets/confirmatory_targets.csv,raw/targeting_confirmatory/pythia-160m-seed3.json,
confirmatory,3,72000,completed,targets/confirmatory_targets.csv,raw/targeting_confirmatory/pythia-160m-seed3.json,
confirmatory,3,143000,completed,targets/confirmatory_targets.csv,raw/targeting_confirmatory/pythia-160m-seed3.json,
confirmatory,5,14000,completed,targets/confirmatory_targets.csv,raw/targeting_confirmatory/pythia-160m-seed5.json,
confirmatory,5,72000,completed,targets/confirmatory_targets.csv,raw/targeting_confirmatory/pythia-160m-seed5.json,
confirmatory,5,143000,completed,targets/confirmatory_targets.csv,raw/targeting_confirmatory/pythia-160m-seed5.json,
confirmatory,6,14000,completed,targets/confirmatory_targets.csv,raw/targeting_confirmatory/pythia-160m-seed6.json,
confirmatory,6,72000,completed,targets/confirmatory_targets.csv,raw/targeting_confirmatory/pythia-160m-seed6.json,
confirmatory,6,143000,completed,targets/confirmatory_targets.csv,raw/targeting_confirmatory/pythia-160m-seed6.json,
confirmatory,8,14000,completed,targets/confirmatory_targets.csv,raw/targeting_confirmatory/pythia-160m-seed8.json,
confirmatory,8,72000,completed,targets/confirmatory_targets.csv,raw/targeting_confirmatory/pythia-160m-seed8.json,
confirmatory,8,143000,completed,targets/confirmatory_targets.csv,raw/targeting_confirmatory/pythia-160m-seed8.json,
reveal,2,14000,completed,target_manifest.csv,raw/reveal/pythia-160m-seed2.json,
reveal,2,72000,completed,target_manifest.csv,raw/reveal/pythia-160m-seed2.json,
reveal,2,143000,completed,target_manifest.csv,raw/reveal/pythia-160m-seed2.json,
reveal,3,14000,completed,target_manifest.csv,raw/reveal/pythia-160m-seed3.json,
reveal,3,72000,completed,target_manifest.csv,raw/reveal/pythia-160m-seed3.json,
reveal,3,143000,completed,target_manifest.csv,raw/reveal/pythia-160m-seed3.json,
reveal,5,14000,completed,target_manifest.csv,raw/reveal/pythia-160m-seed5.json,
reveal,5,72000,completed,target_manifest.csv,raw/reveal/pythia-160m-seed5.json,
reveal,5,143000,completed,target_manifest.csv,raw/reveal/pythia-160m-seed5.json,
reveal,6,14000,completed,target_manifest.csv,raw/reveal/pythia-160m-seed6.json,
reveal,6,72000,completed,target_manifest.csv,raw/reveal/pythia-160m-seed6.json,
reveal,6,143000,completed,target_manifest.csv,raw/reveal/pythia-160m-seed6.json,
reveal,8,14000,completed,target_manifest.csv,raw/reveal/pythia-160m-seed8.json,
reveal,8,72000,completed,target_manifest.csv,raw/reveal/pythia-160m-seed8.json,
reveal,8,143000,completed,target_manifest.csv,raw/reveal/pythia-160m-seed8.json,
