target_id,run_id,step,layer,selected_beta,valid_fraction,comparisons,cosine_mean,cosine_median,cosine_q10,cosine_q90,cosine_sd,directional_disagreement,block_norm_mean,noise_norm_mean,log_noise_block_norm_ratio,family_residual,reversal,block_kl,reveal_kl,block_nll_damage,reveal_nll_damage,mean_kl,mean_nll,delta_boundary_difference,output_log_norm_ratio,output_abs_cosine_difference,resid_base,resid_aug
r2_s14000_l1,2,14000,1,0.610086654353,1.0,13824,-0.0003151849178257,2.4985114578157663e-05,-0.0469228565692901,0.0461766842752695,0.036216154570866,1.0003151849178258,12.570713718214796,18.514897736893207,0.387205890610847,0.007740162037037,True,0.5876143508487278,0.581660372239572,0.6313015884823269,0.6384883898275868,0.5846373615441499,0.6348949891549569,-0.1649237871170044,-0.0022332442479958,-7.145386189222336e-05,0.014170048707562447,0.016563870572257125
r2_s14000_l2,2,14000,2,0.667777390647,1.0,13824,-5.617002929921063e-05,-1.5637685919500655e-05,-0.0467469036579132,0.047044488787651,0.036408127643843,1.0000561700292991,15.849480966313015,22.72915118615385,0.36051154065689,0.0028211805555555,True,0.6941122081544665,0.6960172145454971,0.7525731987423366,0.7499408986833362,0.6950647113499818,0.7512570487128365,-0.118215799331665,-0.0209102333927989,0.0002088618930429,-0.0023586169319210555,0.007597673375734859
r2_s14000_l3,2,14000,3,0.569293543783,1.0,13824,0.0001375480618765,-0.0002228646771982,-0.0455954223871231,0.0467533756047487,0.03603616992971,0.9998624519381236,19.31240839925077,22.97818735021132,0.173797578292408,-0.0341435185185184,False,0.7652236223220825,0.7465438776546054,0.7743501398298474,0.7919619966436313,0.755883749988344,0.7831560682367393,-0.0112780928611755,0.0644216966362592,-0.0001853569410741,-0.01635913863449951,-0.0064241973295244975
r2_s14000_l4,2,14000,4,0.367257583746,1.0,13824,0.000355524496217,7.157148138503544e-05,-0.0461828809231519,0.047294183447957,0.0364866652033674,0.9996444755037828,14.463135616439912,15.366013326233736,0.0605551028671116,-0.0138888888888888,False,0.262666051586469,0.2731158170435164,0.2992361386617024,0.2861531222308127,0.26789093431499267,0.29269463044625754,0.0926247909665107,0.1712989093652119,-0.0005906112492084,0.011428469317834632,0.0015563802455653714
r2_s14000_l6,2,14000,6,0.327424162539,1.0,13824,0.0001294825096721,0.000376419731765,-0.0465607214719057,0.0466046001762152,0.0361495479278293,0.9998705174903278,16.390722185787226,15.400220035195902,-0.0623336570539301,-0.0250289351851851,False,0.1849737829632229,0.1863985530756138,0.2089083989461266,0.2072829140557184,0.18568616801941834,0.2080956565009225,0.0370539352297782,0.0559108744753077,-0.0005668499507009,0.007640225145344064,0.008640574763423378
r2_s14000_l9,2,14000,9,0.370729772479,1.0,13824,-0.0001215638891089,-0.0002607415663078,-0.0461436904966831,0.045318978279829,0.0358429676822972,1.000121563889109,22.132550484397346,25.0377611713139,0.1233357346353655,-0.0378327546296295,False,0.210194620821211,0.2105704617721063,0.2148643864525687,0.2147918277316627,0.21038254129665865,0.2148281070921157,0.0285970903933048,0.0511657221488827,-0.0005252950359135,-0.006745577691301276,-0.020936234001084415
r2_s14000_l10,2,14000,10,0.467887361263,1.0,13824,-0.0003267137569514,6.803963188417583e-06,-0.046366298943758,0.045644050091505,0.0359830950150691,1.0003267137569514,32.54410784401827,37.59945672364147,0.1443932678003599,0.0020254629629629,True,0.2904930694235696,0.2992866337299347,0.3209444946712916,0.3105879624684649,0.2948898515767522,0.31576622856987824,0.0040069669485092,0.097081083700598,-0.0005072229541838,0.027117093234549867,0.018050175807579272
r2_s72000_l1,2,72000,1,0.708203932499,1.0,13824,-5.549712750205113e-05,0.000109353033622,-0.0462773781269788,0.0468269687145948,0.0362820828279997,1.000055497127502,10.194685272975928,15.54215084568218,0.4216892095935785,-0.0008680555555555,False,0.9493300782309636,0.9299386673503452,0.9494883219401044,0.9681474897596574,0.9396343727906544,0.9588179058498809,-0.1502646803855896,0.0002374597728829,-0.000106610590592,0.01594480283159212,0.005745081060430361
r2_s72000_l2,2,72000,2,0.699480193099,1.0,13824,-0.0002866105410856,-0.0001734022953314,-0.0463756099343299,0.0460666183382272,0.036057109365381,1.0002866105410857,12.930085950944989,17.390544897704213,0.2963698216767895,-0.0199652777777777,False,0.92882463004854,0.9133733996638546,0.9390635490417482,0.954148363184046,0.9210990148561973,0.946605956112897,-0.1026764214038848,-0.0213369581567354,1.1394964531064034e-05,-0.00679168752424791,-0.008961006353423697
r2_s72000_l3,2,72000,3,0.44408862564,1.0,13824,0.0003596947887024,0.0005533225485123,-0.0450808778405189,0.0463337164372205,0.0358896761318822,0.9996403052112977,16.058146928126614,13.425094566342455,-0.1790906331424027,-0.0490451388888888,False,0.8842032485538058,0.8714970482720269,0.8943626085917153,0.9076645462601268,0.8778501484129164,0.9010135774259211,0.0377615541219711,0.058982198702033,-0.0001719389110803,-0.027664943841069378,-0.0030585383492533896
