layer,cells,raw,baseline_residual,augmented_residual
1,15,0.0020978009259259,0.01594480283159212,0.005745081060430361
2,15,-0.007740162037037,0.003237372721790425,-0.00419567059490762
3,10,-0.02879050925925925,-0.010407358955116876,-0.004543857405213754
4,14,-0.0337094907407407,-0.012251068289365676,3.218678031873673e-05
5,9,-0.0313946759259259,-0.0005483448328832685,0.007629421523404706
6,8,-0.035879629629629595,-0.006384485278903963,0.002476000536818049
7,3,-0.0452112268518518,-0.020398166542591162,-0.018015045910494763
8,8,-0.0144675925925926,-0.0035630964912717715,-0.003442401808551406
9,12,-0.023980034722222147,-0.007831371559994206,-0.004740207021672034
10,9,0.023365162037037,0.027569513454981143,0.014414685228557565
