run_id,bin_index,bin_low,bin_high,early_count,late_count,early_agreement,late_agreement,delta_s
1,0,0.0,0.05,1100,1050,0.29363636363636364,0.28095238095238095,-0.012683982683982686
1,1,0.05,0.1,3970,3730,0.40453400503778336,0.3329758713136729,-0.07155813372411046
1,2,0.1,0.2,8820,8460,0.5200680272108843,0.4542553191489362,-0.06581270806194811
1,3,0.2,0.4,13720,13730,0.6761661807580175,0.6016023306627822,-0.07456385009523525
1,4,0.4,1.01,18470,19110,0.8698971304818625,0.8250654107796965,-0.04483171970216593
4,0,0.0,0.05,1220,1090,0.36885245901639346,0.2486238532110092,-0.12022860580538428
4,1,0.05,0.1,3740,3640,0.44331550802139036,0.34807692307692306,-0.0952385849444673
4,2,0.1,0.2,8990,8480,0.5480533926585095,0.44669811320754715,-0.10135527945096234
4,3,0.2,0.4,13720,13610,0.7048833819241983,0.5861131520940485,-0.11877022983014984
4,4,0.4,1.01,18410,19260,0.8980445410103205,0.814122533748702,-0.08392200726161847
6,0,0.0,0.05,1110,1080,0.3333333333333333,0.25092592592592594,-0.08240740740740737
6,1,0.05,0.1,3870,3700,0.45891472868217054,0.34135135135135136,-0.11756337733081917
6,2,0.1,0.2,8880,8270,0.534572072072072,0.4460701330108827,-0.0885019390611893
6,3,0.2,0.4,13380,13480,0.6802690582959642,0.5775964391691395,-0.10267261912682468
6,4,0.4,1.01,18840,19550,0.8863057324840764,0.8217391304347826,-0.06456660204929376
7,0,0.0,0.05,1190,1150,0.32605042016806723,0.21391304347826087,-0.11213737668980636
7,1,0.05,0.1,4040,3620,0.423019801980198,0.32099447513812157,-0.10202532684207644
7,2,0.1,0.2,8530,8640,0.5477139507620165,0.4516203703703704,-0.09609358039164606
7,3,0.2,0.4,13690,13530,0.7005113221329438,0.5895048041389505,-0.1110065179939933
7,4,0.4,1.01,18630,19140,0.8911969940955449,0.8251828631138975,-0.06601413098164732
8,0,0.0,0.05,1020,1030,0.3215686274509804,0.2407766990291262,-0.0807919284218542
8,1,0.05,0.1,3900,3420,0.41923076923076924,0.3026315789473684,-0.11659919028340082
8,2,0.1,0.2,9220,8450,0.5520607375271149,0.43088757396449706,-0.12117316356261787
8,3,0.2,0.4,13640,13840,0.6844574780058651,0.5750722543352601,-0.10938522367060499
8,4,0.4,1.01,18300,19340,0.8932786885245901,0.8078593588417787,-0.0854193296828114
9,0,0.0,0.05,970,1080,0.3422680412371134,0.22592592592592592,-0.11634211531118749
9,1,0.05,0.1,3500,3500,0.41628571428571426,0.32085714285714284,-0.09542857142857142
9,2,0.1,0.2,8740,8390,0.5474828375286042,0.4567342073897497,-0.09074863013885448
9,3,0.2,0.4,13690,14070,0.670927684441198,0.5958066808813077,-0.07512100355989026
9,4,0.4,1.01,19180,19040,0.8901981230448384,0.8285189075630253,-0.0616792154818131
