depth,method,n_correct_pairs,full_accuracy,circuit_size,retained_accuracy,circuit_ablated_accuracy,random_retain_accuracy_mean,random_ablate_accuracy_mean,cross_method_jaccard
1,activation_patching,256,1.0,17,0.921875,0.1640625,0.162578125,0.469140625,0.5
1,zero_ablation,256,1.0,31,0.94921875,0.12109375,0.372890625,0.18109375,0.5
2,activation_patching,256,1.0,35,0.9296875,0.21484375,0.38109375,0.14171875,0.75
2,zero_ablation,256,1.0,35,0.92578125,0.1484375,0.31953125,0.145546875,0.75
3,activation_patching,256,1.0,38,0.97265625,0.14453125,0.545,0.1459375,0.7674418604651163
3,zero_ablation,256,1.0,38,0.94921875,0.1484375,0.474375,0.15015625,0.7674418604651163
4,activation_patching,256,1.0,37,0.9375,0.15234375,0.557890625,0.149765625,0.8717948717948718
4,zero_ablation,256,1.0,36,0.91796875,0.1328125,0.5078125,0.165859375,0.8717948717948718
5,activation_patching,253,1.0,46,0.95652174949646,0.09090909361839294,0.8123320496082306,0.09565217770636082,0.851063829787234
5,zero_ablation,253,1.0,41,0.9683794975280762,0.11857707798480988,0.612173935174942,0.12632411539554597,0.851063829787234
