depth,component,method,score
1,L0H0,activation_patching,0.17508050799369812
1,L0H0,zero_ablation,0.05290088802576065
1,L0H1,activation_patching,0.4609720706939697
1,L0H1,zero_ablation,-0.050933703780174255
1,L0H2,activation_patching,0.13194070756435394
1,L0H2,zero_ablation,0.05891936272382736
1,L0H3,activation_patching,0.18503938615322113
1,L0H3,zero_ablation,0.04831422120332718
1,L0MLP,activation_patching,1.2406704425811768
1,L0MLP,zero_ablation,5.464254379272461
1,L1H0,activation_patching,7.140192985534668
1,L1H0,zero_ablation,2.072460651397705
1,L1H1,activation_patching,5.726266860961914
1,L1H1,zero_ablation,7.56166934967041
1,L1H2,activation_patching,0.8499094247817993
1,L1H2,zero_ablation,0.4203333854675293
1,L1H3,activation_patching,0.6281419992446899
1,L1H3,zero_ablation,0.030606666579842567
1,L1MLP,activation_patching,1.928712010383606
1,L1MLP,zero_ablation,1.0868502855300903
1,L2H0,activation_patching,0.08598372340202332
1,L2H0,zero_ablation,0.1344073861837387
1,L2H1,activation_patching,17.063865661621094
1,L2H1,zero_ablation,10.786123275756836
1,L2H2,activation_patching,0.11949548125267029
1,L2H2,zero_ablation,0.10218310356140137
1,L2H3,activation_patching,0.6066563129425049
1,L2H3,zero_ablation,0.44303661584854126
1,L2MLP,activation_patching,1.0076496601104736
1,L2MLP,zero_ablation,0.658260703086853
1,L3H0,activation_patching,-0.0018867868930101395
1,L3H0,zero_ablation,0.008691739290952682
1,L3H1,activation_patching,0.516708493232727
1,L3H1,zero_ablation,0.01370500959455967
1,L3H2,activation_patching,0.19306965172290802
1,L3H2,zero_ablation,0.0660298615694046
1,L3H3,activation_patching,0.02603667601943016
1,L3H3,zero_ablation,0.09282803535461426
1,L3MLP,activation_patching,0.34004640579223633
1,L3MLP,zero_ablation,0.21162095665931702
1,L4H0,activation_patching,-0.023585230112075806
1,L4H0,zero_ablation,0.0017790906131267548
1,L4H1,activation_patching,0.11193247884511948
1,L4H1,zero_ablation,0.10859475284814835
1,L4H2,activation_patching,0.10059332847595215
1,L4H2,zero_ablation,-0.04547175392508507
1,L4H3,activation_patching,0.22434420883655548
1,L4H3,zero_ablation,-0.04147464781999588
1,L4MLP,activation_patching,0.13604341447353363
1,L4MLP,zero_ablation,-0.022928588092327118
1,L5H0,activation_patching,0.11730596423149109
1,L5H0,zero_ablation,-0.053672242909669876
1,L5H1,activation_patching,0.11728528141975403
1,L5H1,zero_ablation,-0.0848587155342102
1,L5H2,activation_patching,0.17718324065208435
1,L5H2,zero_ablation,-0.018185006454586983
1,L5H3,activation_patching,0.018124837428331375
1,L5H3,zero_ablation,-0.03233976662158966
1,L5MLP,activation_patching,0.17616212368011475
1,L5MLP,zero_ablation,-0.0033638961613178253
1,L6H0,activation_patching,0.09252335131168365
1,L6H0,zero_ablation,-0.038162827491760254
1,L6H1,activation_patching,0.2697964310646057
1,L6H1,zero_ablation,-0.05109135061502457
1,L6H2,activation_patching,0.0773693174123764
1,L6H2,zero_ablation,0.11577440798282623
1,L6H3,activation_patching,0.09084369987249374
1,L6H3,zero_ablation,-0.0425063818693161
1,L6MLP,activation_patching,0.3769334852695465
1,L6MLP,zero_ablation,-0.08014161884784698
1,L7H0,activation_patching,0.3520278334617615
1,L7H0,zero_ablation,0.10469749569892883
1,L7H1,activation_patching,0.22845277190208435
1,L7H1,zero_ablation,-0.05599629133939743
1,L7H2,activation_patching,0.23277810215950012
1,L7H2,zero_ablation,0.012890899553894997
1,L7H3,activation_patching,0.2610444724559784
1,L7H3,zero_ablation,0.11166715621948242
1,L7MLP,activation_patching,0.41262561082839966
1,L7MLP,zero_ablation,0.2524266242980957
1,L8H0,activation_patching,0.7414414882659912
1,L8H0,zero_ablation,0.134878009557724
1,L8H1,activation_patching,0.6997024416923523
1,L8H1,zero_ablation,0.10693566501140594
1,L8H2,activation_patching,0.48590216040611267
1,L8H2,zero_ablation,-0.16387376189231873
1,L8H3,activation_patching,0.4163985252380371
1,L8H3,zero_ablation,0.07853548228740692
1,L8MLP,activation_patching,0.45656222105026245
1,L8MLP,zero_ablation,0.48032906651496887
1,L9H0,activation_patching,2.0387842655181885
1,L9H0,zero_ablation,0.15355759859085083
1,L9H1,activation_patching,0.7626147270202637
1,L9H1,zero_ablation,0.132636159658432
1,L9H2,activation_patching,1.0496636629104614
1,L9H2,zero_ablation,0.0872698426246643
1,L9H3,activation_patching,1.9667398929595947
1,L9H3,zero_ablation,0.21459060907363892
1,L9MLP,activation_patching,1.3415497541427612
1,L9MLP,zero_ablation,1.8670017719268799
2,L0H0,activation_patching,0.038137439638376236
2,L0H0,zero_ablation,-0.006392313167452812
2,L0H1,activation_patching,0.05917084217071533
2,L0H1,zero_ablation,-0.05359586328268051
2,L0H2,activation_patching,0.08421013504266739
2,L0H2,zero_ablation,-0.05416516959667206
2,L0H3,activation_patching,0.024963734671473503
2,L0H3,zero_ablation,0.0037742462009191513
2,L0MLP,activation_patching,2.6492953300476074
2,L0MLP,zero_ablation,9.352402687072754
2,L1H0,activation_patching,6.9389801025390625
2,L1H0,zero_ablation,1.816279411315918
2,L1H1,activation_patching,5.728292942047119
2,L1H1,zero_ablation,2.777937412261963
2,L1H2,activation_patching,0.9780732989311218
2,L1H2,zero_ablation,0.6450955867767334
2,L1H3,activation_patching,0.2709354758262634
2,L1H3,zero_ablation,-0.00462273508310318
2,L1MLP,activation_patching,1.6081912517547607
2,L1MLP,zero_ablation,3.728637933731079
2,L2H0,activation_patching,0.024232713505625725
2,L2H0,zero_ablation,-0.08279508352279663
2,L2H1,activation_patching,5.618031024932861
2,L2H1,zero_ablation,2.8621652126312256
2,L2H2,activation_patching,-0.10685399919748306
2,L2H2,zero_ablation,0.03756241127848625
2,L2H3,activation_patching,1.810056447982788
2,L2H3,zero_ablation,14.244095802307129
2,L2MLP,activation_patching,2.129732608795166
2,L2MLP,zero_ablation,1.247276782989502
2,L3H0,activation_patching,-0.038819149136543274
2,L3H0,zero_ablation,0.06416009366512299
2,L3H1,activation_patching,0.23439860343933105
2,L3H1,zero_ablation,0.1634807288646698
2,L3H2,activation_patching,0.14016252756118774
2,L3H2,zero_ablation,0.11319778859615326
2,L3H3,activation_patching,-0.032258689403533936
2,L3H3,zero_ablation,-0.06608591973781586
2,L3MLP,activation_patching,2.1540558338165283
2,L3MLP,zero_ablation,1.2180875539779663
2,L4H0,activation_patching,0.8439986705780029
2,L4H0,zero_ablation,2.9622750282287598
2,L4H1,activation_patching,0.0379653200507164
2,L4H1,zero_ablation,0.11303848028182983
2,L4H2,activation_patching,0.05758343264460564
2,L4H2,zero_ablation,0.18566080927848816
2,L4H3,activation_patching,0.27762430906295776
2,L4H3,zero_ablation,0.35955309867858887
2,L4MLP,activation_patching,0.13308784365653992
2,L4MLP,zero_ablation,1.174087643623352
2,L5H0,activation_patching,0.4576939046382904
2,L5H0,zero_ablation,0.18368041515350342
2,L5H1,activation_patching,0.058574333786964417
2,L5H1,zero_ablation,0.02462580054998398
2,L5H2,activation_patching,0.46880412101745605
2,L5H2,zero_ablation,0.08004655689001083
2,L5H3,activation_patching,0.34251344203948975
2,L5H3,zero_ablation,0.1369629055261612
2,L5MLP,activation_patching,1.366876482963562
2,L5MLP,zero_ablation,0.8214483261108398
2,L6H0,activation_patching,1.0448945760726929
2,L6H0,zero_ablation,-0.03147674724459648
2,L6H1,activation_patching,0.8296650648117065
2,L6H1,zero_ablation,0.01111164502799511
2,L6H2,activation_patching,0.8398675322532654
2,L6H2,zero_ablation,0.1544107049703598
2,L6H3,activation_patching,0.699955940246582
2,L6H3,zero_ablation,0.011403262615203857
2,L6MLP,activation_patching,1.3548837900161743
2,L6MLP,zero_ablation,1.135044813156128
2,L7H0,activation_patching,0.7228130102157593
2,L7H0,zero_ablation,0.22723761200904846
2,L7H1,activation_patching,1.343980312347412
2,L7H1,zero_ablation,0.07986658066511154
2,L7H2,activation_patching,0.6053653955459595
2,L7H2,zero_ablation,0.09202215075492859
2,L7H3,activation_patching,0.7388606071472168
2,L7H3,zero_ablation,0.12968939542770386
2,L7MLP,activation_patching,0.36171209812164307
2,L7MLP,zero_ablation,1.1731154918670654
2,L8H0,activation_patching,1.1168590784072876
2,L8H0,zero_ablation,0.5213494896888733
2,L8H1,activation_patching,1.229931116104126
2,L8H1,zero_ablation,0.20574232935905457
2,L8H2,activation_patching,1.8244127035140991
2,L8H2,zero_ablation,0.23829242587089539
2,L8H3,activation_patching,0.7822439670562744
2,L8H3,zero_ablation,0.09827285259962082
2,L8MLP,activation_patching,0.8803402185440063
2,L8MLP,zero_ablation,1.1081416606903076
2,L9H0,activation_patching,3.0146944522857666
2,L9H0,zero_ablation,0.4008532762527466
2,L9H1,activation_patching,1.2104425430297852
2,L9H1,zero_ablation,0.4083019196987152
2,L9H2,activation_patching,1.8972208499908447
2,L9H2,zero_ablation,0.39809584617614746
2,L9H3,activation_patching,2.8138065338134766
2,L9H3,zero_ablation,0.5869319438934326
2,L9MLP,activation_patching,1.6852500438690186
2,L9MLP,zero_ablation,2.466240882873535
3,L0H0,activation_patching,0.030782928690314293
3,L0H0,zero_ablation,0.12826386094093323
3,L0H1,activation_patching,0.037617914378643036
3,L0H1,zero_ablation,0.08094490319490433
3,L0H2,activation_patching,0.026797784492373466
3,L0H2,zero_ablation,0.05107586458325386
3,L0H3,activation_patching,0.06050868704915047
3,L0H3,zero_ablation,0.02559017948806286
3,L0MLP,activation_patching,1.9345273971557617
3,L0MLP,zero_ablation,8.174478530883789
3,L1H0,activation_patching,7.338388442993164
3,L1H0,zero_ablation,2.0219106674194336
3,L1H1,activation_patching,5.064997673034668
3,L1H1,zero_ablation,3.11749267578125
3,L1H2,activation_patching,0.744762122631073
3,L1H2,zero_ablation,0.8032722473144531
3,L1H3,activation_patching,0.25762850046157837
3,L1H3,zero_ablation,0.29071173071861267
3,L1MLP,activation_patching,3.259697437286377
3,L1MLP,zero_ablation,2.7706055641174316
3,L2H0,activation_patching,0.058914996683597565
3,L2H0,zero_ablation,0.09440384805202484
3,L2H1,activation_patching,11.424131393432617
3,L2H1,zero_ablation,3.255552291870117
3,L2H2,activation_patching,0.949404239654541
3,L2H2,zero_ablation,0.2286161482334137
3,L2H3,activation_patching,0.4553537964820862
3,L2H3,zero_ablation,12.36477279663086
3,L2MLP,activation_patching,1.3537458181381226
3,L2MLP,zero_ablation,0.6094201803207397
3,L3H0,activation_patching,0.08875960111618042
3,L3H0,zero_ablation,0.021299613639712334
3,L3H1,activation_patching,1.0129711627960205
3,L3H1,zero_ablation,0.09584279358386993
3,L3H2,activation_patching,0.9439772367477417
3,L3H2,zero_ablation,0.14400671422481537
3,L3H3,activation_patching,0.16603723168373108
3,L3H3,zero_ablation,0.03416839987039566
3,L3MLP,activation_patching,1.4111727476119995
3,L3MLP,zero_ablation,1.0323482751846313
3,L4H0,activation_patching,0.058873340487480164
3,L4H0,zero_ablation,-0.12726950645446777
3,L4H1,activation_patching,0.6656777858734131
3,L4H1,zero_ablation,0.07491914927959442
3,L4H2,activation_patching,0.49644988775253296
3,L4H2,zero_ablation,0.06134771555662155
3,L4H3,activation_patching,0.43383222818374634
3,L4H3,zero_ablation,-0.06147731840610504
3,L4MLP,activation_patching,1.1530121564865112
3,L4MLP,zero_ablation,1.4186499118804932
3,L5H0,activation_patching,1.5846920013427734
3,L5H0,zero_ablation,0.522088885307312
3,L5H1,activation_patching,0.3123325705528259
3,L5H1,zero_ablation,0.022628573700785637
3,L5H2,activation_patching,1.016760230064392
3,L5H2,zero_ablation,0.10270053148269653
3,L5H3,activation_patching,0.9591270089149475
3,L5H3,zero_ablation,0.23575639724731445
3,L5MLP,activation_patching,1.1707408428192139
3,L5MLP,zero_ablation,0.27938371896743774
3,L6H0,activation_patching,1.2137961387634277
3,L6H0,zero_ablation,0.04507685452699661
3,L6H1,activation_patching,1.1836376190185547
3,L6H1,zero_ablation,0.1423300802707672
3,L6H2,activation_patching,1.4660977125167847
3,L6H2,zero_ablation,0.2869272232055664
3,L6H3,activation_patching,1.1274597644805908
3,L6H3,zero_ablation,0.21471503376960754
3,L6MLP,activation_patching,1.7605268955230713
3,L6MLP,zero_ablation,0.60084468126297
3,L7H0,activation_patching,0.42773330211639404
3,L7H0,zero_ablation,0.15466158092021942
3,L7H1,activation_patching,1.0318164825439453
3,L7H1,zero_ablation,-0.012346237897872925
3,L7H2,activation_patching,0.6768770217895508
