epoch,loss,macro_accuracy,min_depth_accuracy,depth_1,depth_2,depth_3,depth_4,depth_5
1,2.4017323821258545,0.192,0.103,0.241,0.214,0.19,0.212,0.103
2,1.9914530660247802,0.2046,0.097,0.239,0.219,0.235,0.233,0.097
3,1.908701796722412,0.2028,0.092,0.241,0.227,0.224,0.23,0.092
4,1.8616904885482788,0.215,0.1,0.277,0.237,0.226,0.235,0.1
5,1.7945543532562256,0.2994,0.114,0.544,0.287,0.293,0.259,0.114
6,1.5419301113891601,0.4008,0.151,0.995,0.279,0.309,0.27,0.151
7,1.332248769607544,0.407,0.165,0.999,0.252,0.328,0.291,0.165
8,1.2361435454559326,0.4526,0.239,0.998,0.293,0.407,0.326,0.239
9,1.092478699760437,0.627,0.318,0.994,0.935,0.509,0.379,0.318
10,0.6539116265773773,0.8304,0.557,0.999,0.999,0.906,0.691,0.557
11,0.2903411587047577,0.9218,0.748,1.0,0.999,0.997,0.865,0.748
12,0.12750473608970642,0.9636,0.876,1.0,1.0,0.995,0.947,0.876
13,0.04350160477727651,0.9944,0.978,1.0,1.0,1.0,0.994,0.978
14,0.017006916079074143,0.9972,0.992,0.997,1.0,1.0,0.997,0.992
15,0.013311657300442457,0.998,0.995,1.0,0.998,1.0,0.997,0.995
