depth,method,n_correct_pairs,full_accuracy,circuit_size,retained_accuracy,circuit_ablated_accuracy,random_retain_accuracy_mean,random_ablate_accuracy_mean,cross_method_jaccard
1,activation_patching,254,1.0,25,0.9094488024711609,0.09055118262767792,0.15299212478101254,0.20393700681626797,0.6785714285714286
1,zero_ablation,254,1.0,22,0.9094488024711609,0.09055118262767792,0.1481102353334427,0.2716535436362028,0.6785714285714286
2,activation_patching,256,1.0,41,0.9140625,0.1328125,0.611640625,0.13484375,0.6744186046511628
2,zero_ablation,256,1.0,31,0.9140625,0.17578125,0.271953125,0.164609375,0.6744186046511628
3,activation_patching,255,1.0,46,0.9647059440612793,0.05882353335618973,0.8367843675613403,0.09333333894610404,0.7959183673469388
3,zero_ablation,255,1.0,42,0.9254902601242065,0.08235294371843338,0.6921569058299064,0.11733334049582482,0.7959183673469388
4,activation_patching,252,1.0,43,0.9404762387275696,0.111111119389534,0.7348413163423538,0.13746032416820525,0.8863636363636364
4,zero_ablation,252,1.0,40,0.900793731212616,0.1666666716337204,0.6235714629292488,0.1431746092438698,0.8863636363636364
5,activation_patching,247,1.0,50,1.0,0.056680165231227875,1.0,0.056680165231227875,0.76
5,zero_ablation,247,1.0,38,0.9190283417701721,0.08906883001327515,0.5337651970982552,0.14663967967033387,0.76
