epoch,loss,macro_accuracy,min_depth_accuracy,depth_1,depth_2,depth_3,depth_4,depth_5
1,2.403232460708618,0.2012,0.109,0.253,0.233,0.209,0.202,0.109
2,1.9908608103179932,0.203,0.111,0.253,0.212,0.232,0.207,0.111
3,1.9102786912155152,0.203,0.117,0.235,0.229,0.186,0.248,0.117
4,1.8670303125,0.2082,0.111,0.242,0.244,0.218,0.226,0.111
5,1.8265869144058227,0.2362,0.113,0.354,0.211,0.255,0.248,0.113
6,1.6524425592803955,0.39,0.138,0.958,0.291,0.31,0.253,0.138
7,1.368640739402771,0.413,0.168,0.999,0.273,0.332,0.293,0.168
8,1.2692751396560669,0.4428,0.238,0.999,0.289,0.385,0.303,0.238
9,1.1516492647171022,0.5688,0.371,1.0,0.579,0.482,0.412,0.371
10,0.7419522410774231,0.7826,0.545,1.0,0.998,0.712,0.658,0.545
11,0.35266413294792176,0.9172,0.748,0.997,1.0,0.976,0.865,0.748
12,0.16527478224277498,0.9592,0.871,1.0,1.0,0.995,0.93,0.871
13,0.08466743770122528,0.9818,0.932,1.0,1.0,0.999,0.978,0.932
14,0.04952276351690292,0.9882,0.954,1.0,1.0,0.999,0.988,0.954
15,0.03252260470300913,0.992,0.972,1.0,1.0,0.999,0.989,0.972
16,0.023653051916360857,0.9944,0.987,0.996,1.0,0.999,0.987,0.99
