depth,component,method,score
1,L0H0,activation_patching,0.28069746494293213
1,L0H0,zero_ablation,0.26580744981765747
1,L0H1,activation_patching,0.13341586291790009
1,L0H1,zero_ablation,0.06184190511703491
1,L0H2,activation_patching,0.08808273077011108
1,L0H2,zero_ablation,0.005584659054875374
1,L0H3,activation_patching,0.1654941290616989
1,L0H3,zero_ablation,0.012100717052817345
1,L0MLP,activation_patching,1.5053951740264893
1,L0MLP,zero_ablation,7.111798286437988
1,L1H0,activation_patching,6.570928573608398
1,L1H0,zero_ablation,4.071022033691406
1,L1H1,activation_patching,0.06194112077355385
1,L1H1,zero_ablation,0.045052554458379745
1,L1H2,activation_patching,2.281285285949707
1,L1H2,zero_ablation,1.2826969623565674
1,L1H3,activation_patching,4.981435775756836
1,L1H3,zero_ablation,3.354281425476074
1,L1MLP,activation_patching,1.503638505935669
1,L1MLP,zero_ablation,3.0076308250427246
1,L2H0,activation_patching,1.2644392251968384
1,L2H0,zero_ablation,0.014034921303391457
1,L2H1,activation_patching,0.2784925401210785
1,L2H1,zero_ablation,0.22655773162841797
1,L2H2,activation_patching,12.742103576660156
1,L2H2,zero_ablation,6.580076694488525
1,L2H3,activation_patching,0.0382755845785141
1,L2H3,zero_ablation,0.03914397954940796
1,L2MLP,activation_patching,0.6912868022918701
1,L2MLP,zero_ablation,0.5907806158065796
1,L3H0,activation_patching,0.04343710094690323
1,L3H0,zero_ablation,-0.03224613890051842
1,L3H1,activation_patching,-0.08296646177768707
1,L3H1,zero_ablation,0.06768098473548889
1,L3H2,activation_patching,0.39013445377349854
1,L3H2,zero_ablation,0.1862097680568695
1,L3H3,activation_patching,0.10161904990673065
1,L3H3,zero_ablation,-0.024016551673412323
1,L3MLP,activation_patching,0.39574766159057617
1,L3MLP,zero_ablation,0.41532206535339355
1,L4H0,activation_patching,-0.1326352059841156
1,L4H0,zero_ablation,0.22213469445705414
1,L4H1,activation_patching,-0.25002238154411316
1,L4H1,zero_ablation,0.06682080030441284
1,L4H2,activation_patching,0.05073666572570801
1,L4H2,zero_ablation,-0.013018408790230751
1,L4H3,activation_patching,-0.17888425290584564
1,L4H3,zero_ablation,0.0170974712818861
1,L4MLP,activation_patching,0.07665648311376572
1,L4MLP,zero_ablation,0.14938923716545105
1,L5H0,activation_patching,0.055448636412620544
1,L5H0,zero_ablation,-0.04042168706655502
1,L5H1,activation_patching,0.32615476846694946
1,L5H1,zero_ablation,0.07903841137886047
1,L5H2,activation_patching,0.09469853341579437
1,L5H2,zero_ablation,0.01847963035106659
1,L5H3,activation_patching,0.15528035163879395
1,L5H3,zero_ablation,-0.04968678951263428
1,L5MLP,activation_patching,0.0991331934928894
1,L5MLP,zero_ablation,0.1538272500038147
1,L6H0,activation_patching,0.3524169921875
1,L6H0,zero_ablation,0.033247001469135284
1,L6H1,activation_patching,0.27934500575065613
1,L6H1,zero_ablation,0.14115267992019653
1,L6H2,activation_patching,0.3004469871520996
1,L6H2,zero_ablation,0.03399070352315903
1,L6H3,activation_patching,0.4203926920890808
1,L6H3,zero_ablation,0.11349394172430038
1,L6MLP,activation_patching,0.2547193765640259
1,L6MLP,zero_ablation,0.15133053064346313
1,L7H0,activation_patching,0.31571775674819946
1,L7H0,zero_ablation,0.0679444819688797
1,L7H1,activation_patching,0.5958558320999146
1,L7H1,zero_ablation,0.12690602242946625
1,L7H2,activation_patching,0.5520483255386353
1,L7H2,zero_ablation,0.15387548506259918
1,L7H3,activation_patching,0.5583047270774841
1,L7H3,zero_ablation,0.20117276906967163
1,L7MLP,activation_patching,0.36869508028030396
1,L7MLP,zero_ablation,0.14904391765594482
1,L8H0,activation_patching,0.9099883437156677
1,L8H0,zero_ablation,0.171176016330719
1,L8H1,activation_patching,0.5375484228134155
1,L8H1,zero_ablation,0.05770215392112732
1,L8H2,activation_patching,0.778965413570404
1,L8H2,zero_ablation,0.06298154592514038
1,L8H3,activation_patching,0.9621567726135254
1,L8H3,zero_ablation,0.19121785461902618
1,L8MLP,activation_patching,0.4187800884246826
1,L8MLP,zero_ablation,0.174909308552742
1,L9H0,activation_patching,0.8576291799545288
1,L9H0,zero_ablation,0.08215644955635071
1,L9H1,activation_patching,0.8207811117172241
1,L9H1,zero_ablation,0.1290232539176941
1,L9H2,activation_patching,0.7330787777900696
1,L9H2,zero_ablation,0.03781536594033241
1,L9H3,activation_patching,0.7366645932197571
1,L9H3,zero_ablation,0.054308369755744934
1,L9MLP,activation_patching,1.3002240657806396
1,L9MLP,zero_ablation,2.244668483734131
2,L0H0,activation_patching,-0.019057324156165123
2,L0H0,zero_ablation,0.021139517426490784
2,L0H1,activation_patching,0.05180735886096954
2,L0H1,zero_ablation,-0.006403109058737755
2,L0H2,activation_patching,0.019540200009942055
2,L0H2,zero_ablation,-0.052025701850652695
2,L0H3,activation_patching,0.002118125557899475
2,L0H3,zero_ablation,-0.022435203194618225
2,L0MLP,activation_patching,3.912513256072998
2,L0MLP,zero_ablation,8.044900894165039
2,L1H0,activation_patching,6.527869701385498
2,L1H0,zero_ablation,4.146354675292969
2,L1H1,activation_patching,0.013026874512434006
2,L1H1,zero_ablation,0.035272471606731415
2,L1H2,activation_patching,2.7641992568969727
2,L1H2,zero_ablation,1.696408987045288
2,L1H3,activation_patching,7.646222114562988
2,L1H3,zero_ablation,5.387073516845703
2,L1MLP,activation_patching,1.6204185485839844
2,L1MLP,zero_ablation,3.9600698947906494
2,L2H0,activation_patching,5.075523376464844
2,L2H0,zero_ablation,6.050187587738037
2,L2H1,activation_patching,0.1788073480129242
2,L2H1,zero_ablation,0.05146019533276558
2,L2H2,activation_patching,8.363434791564941
2,L2H2,zero_ablation,17.135517120361328
2,L2H3,activation_patching,0.11783761531114578
2,L2H3,zero_ablation,0.018443657085299492
2,L2MLP,activation_patching,0.412101149559021
2,L2MLP,zero_ablation,0.5665463805198669
2,L3H0,activation_patching,0.7425442934036255
2,L3H0,zero_ablation,0.11102122813463211
2,L3H1,activation_patching,0.22059547901153564
2,L3H1,zero_ablation,-0.0650215595960617
2,L3H2,activation_patching,-0.031575754284858704
2,L3H2,zero_ablation,0.0704483911395073
2,L3H3,activation_patching,0.0585244745016098
2,L3H3,zero_ablation,0.049341484904289246
2,L3MLP,activation_patching,0.5154637098312378
2,L3MLP,zero_ablation,0.19872665405273438
2,L4H0,activation_patching,0.922867476940155
2,L4H0,zero_ablation,0.15572616457939148
2,L4H1,activation_patching,1.0599358081817627
2,L4H1,zero_ablation,0.13950194418430328
2,L4H2,activation_patching,0.005991706624627113
2,L4H2,zero_ablation,0.029710570350289345
2,L4H3,activation_patching,0.3425942361354828
2,L4H3,zero_ablation,0.09521287679672241
2,L4MLP,activation_patching,1.8053033351898193
2,L4MLP,zero_ablation,0.3113856613636017
2,L5H0,activation_patching,0.15692207217216492
2,L5H0,zero_ablation,0.11922848224639893
2,L5H1,activation_patching,0.35017597675323486
2,L5H1,zero_ablation,0.052393585443496704
2,L5H2,activation_patching,0.1350802183151245
2,L5H2,zero_ablation,0.05999884381890297
2,L5H3,activation_patching,1.1167513132095337
2,L5H3,zero_ablation,-0.006446709856390953
2,L5MLP,activation_patching,0.7744901776313782
2,L5MLP,zero_ablation,0.560355544090271
2,L6H0,activation_patching,0.4564553201198578
2,L6H0,zero_ablation,0.1707756221294403
2,L6H1,activation_patching,0.924544095993042
2,L6H1,zero_ablation,0.16876770555973053
2,L6H2,activation_patching,0.7937811613082886
2,L6H2,zero_ablation,0.14070060849189758
2,L6H3,activation_patching,0.3010467290878296
2,L6H3,zero_ablation,0.028443509712815285
2,L6MLP,activation_patching,0.4480178952217102
2,L6MLP,zero_ablation,0.41424357891082764
2,L7H0,activation_patching,0.5340568423271179
2,L7H0,zero_ablation,0.14230892062187195
2,L7H1,activation_patching,0.6620503664016724
2,L7H1,zero_ablation,0.13376912474632263
2,L7H2,activation_patching,0.8362715244293213
2,L7H2,zero_ablation,0.0683823972940445
2,L7H3,activation_patching,0.7114202976226807
2,L7H3,zero_ablation,0.08526458591222763
2,L7MLP,activation_patching,0.6305609345436096
2,L7MLP,zero_ablation,0.7726948261260986
2,L8H0,activation_patching,1.157505989074707
2,L8H0,zero_ablation,0.21301615238189697
2,L8H1,activation_patching,0.8840712904930115
2,L8H1,zero_ablation,0.1481533944606781
2,L8H2,activation_patching,0.9492192268371582
2,L8H2,zero_ablation,0.15515407919883728
2,L8H3,activation_patching,1.242531657218933
2,L8H3,zero_ablation,0.18637587130069733
2,L8MLP,activation_patching,0.5265880823135376
2,L8MLP,zero_ablation,0.3293185532093048
2,L9H0,activation_patching,1.1744798421859741
2,L9H0,zero_ablation,0.2211909294128418
2,L9H1,activation_patching,1.0556007623672485
2,L9H1,zero_ablation,0.17991143465042114
2,L9H2,activation_patching,0.9811695218086243
2,L9H2,zero_ablation,0.14811977744102478
2,L9H3,activation_patching,0.9460563063621521
2,L9H3,zero_ablation,0.1798933744430542
2,L9MLP,activation_patching,1.3782241344451904
2,L9MLP,zero_ablation,2.1033449172973633
3,L0H0,activation_patching,0.007432766258716583
3,L0H0,zero_ablation,0.04007555916905403
3,L0H1,activation_patching,0.006811236962676048
3,L0H1,zero_ablation,0.014115476980805397
3,L0H2,activation_patching,0.012028304859995842
3,L0H2,zero_ablation,0.10512637346982956
3,L0H3,activation_patching,0.0121543500572443
3,L0H3,zero_ablation,0.05721152201294899
