method,depth,mean_size,sd_size,ci95_low,ci95_high,mean_sparsity,mean_cross_method_jaccard
activation_patching,1,24.0,6.557438524302,7.710419668727038,40.28958033127296,0.52,0.578042328042328
activation_patching,2,32.333333333333336,10.263202878893768,6.838124017636762,57.82854264902991,0.3533333333333333,0.6831395348837209
activation_patching,3,41.333333333333336,4.163331998932266,30.99104330788696,51.67562335877971,0.17333333333333334,0.7674968875315545
activation_patching,4,42.0,4.58257569495584,30.616250898811437,53.38374910118856,0.16000000000000003,0.784634396336524
activation_patching,5,46.666666666666664,3.055050463303893,39.077500599207625,54.255832734125704,0.06666666666666676,0.8123835954363244
zero_ablation,1,26.333333333333332,4.509249752822894,15.131735970253212,37.534930696413454,0.4733333333333334,0.578042328042328
zero_ablation,2,32.333333333333336,2.309401076758503,26.596463026800002,38.07020363986667,0.3533333333333333,0.6831395348837209
zero_ablation,3,40.0,2.0,35.031724576325516,44.968275423674484,0.19999999999999996,0.7674968875315545
zero_ablation,4,35.0,5.5677643628300215,21.168906575670484,48.83109342432952,0.30000000000000004,0.784634396336524
zero_ablation,5,39.666666666666664,1.5275252316519465,35.87208363293714,43.46124970039619,0.20666666666666667,0.8123835954363244
