seed,condition,id_accuracy,ood_accuracy,runtime_seconds,peak_cuda_bytes,depth_2,depth_3,depth_4,depth_5,depth_6,depth_7,depth_8
11,outcome_only,1.0,0.09062500000000001,37.64149579999503,440300032,1.0,1.0,1.0,0.2325,0.0715,0.0325,0.026
11,full_process,1.0,0.09662499999999999,37.192156499950215,440300032,1.0,1.0,1.0,0.23,0.081,0.031,0.0445
11,random_1,1.0,0.09837499999999999,36.46330189995933,440300032,1.0,1.0,1.0,0.2375,0.0785,0.037,0.0405
11,uniform_1,1.0,0.09512499999999999,37.70214870001655,440300032,1.0,1.0,1.0,0.2375,0.0735,0.033,0.0365
11,midpoint_1,1.0,0.09225,35.946767600020394,440300032,1.0,1.0,1.0,0.2325,0.0675,0.0295,0.0395
11,early_1,1.0,0.08050000000000002,34.21245820005424,440300032,1.0,1.0,1.0,0.181,0.085,0.021,0.035
11,late_1,1.0,0.108,34.23805500008166,440300032,1.0,1.0,1.0,0.297,0.063,0.034,0.038
23,outcome_only,0.9996666666666667,0.080125,34.27710229996592,440300032,1.0,1.0,0.999,0.174,0.0875,0.03,0.029
23,full_process,1.0,0.09037499999999998,34.66349780000746,440300032,1.0,1.0,1.0,0.2105,0.078,0.0325,0.0405
23,random_1,1.0,0.09237499999999998,34.360473700100556,440300032,1.0,1.0,1.0,0.221,0.075,0.034,0.0395
23,uniform_1,1.0,0.08637500000000001,34.3430931000039,440300032,1.0,1.0,1.0,0.1795,0.0885,0.033,0.0445
23,midpoint_1,1.0,0.092,34.65250119997654,440300032,1.0,1.0,1.0,0.223,0.082,0.025,0.038
23,early_1,1.0,0.08775,34.16673219995573,440300032,1.0,1.0,1.0,0.213,0.0755,0.027,0.0355
23,late_1,1.0,0.098875,34.33759430004284,440300032,1.0,1.0,1.0,0.2385,0.0805,0.0345,0.042
37,outcome_only,0.9996666666666667,0.095375,33.812893499969505,440300032,1.0,1.0,0.999,0.2335,0.074,0.034,0.04
37,full_process,1.0,0.09712499999999999,34.66818330006208,440300032,1.0,1.0,1.0,0.2405,0.0715,0.035,0.0415
37,random_1,1.0,0.104375,34.32550649996847,440300032,1.0,1.0,1.0,0.283,0.067,0.033,0.0345
37,uniform_1,1.0,0.0905,34.60910649993457,440300032,1.0,1.0,1.0,0.224,0.068,0.0305,0.0395
37,midpoint_1,1.0,0.0945,34.32395489991177,440300032,1.0,1.0,1.0,0.234,0.07,0.0355,0.0385
37,early_1,1.0,0.08975,34.33328539994545,440300032,1.0,1.0,1.0,0.223,0.074,0.0245,0.0375
37,late_1,1.0,0.103625,34.131417499971576,440300032,1.0,1.0,1.0,0.276,0.062,0.036,0.0405
