model,axis,level,n,accuracy_gain_receipt_minus_launch
Qwen2.5-3B,mechanism,cli,32,0.4375
Qwen2.5-3B,mechanism,config,32,0.5
Qwen2.5-3B,mechanism,environment,32,0.4375
Qwen2.5-3B,mechanism,precedence,32,0.46875
Qwen2.5-3B,parameter,C,32,0.375
Qwen2.5-3B,parameter,metric,32,0.5
Qwen2.5-3B,parameter,scaler,32,0.5
Qwen2.5-3B,parameter,seed,32,0.46875
Qwen2.5-3B,dataset,breast_cancer,32,0.46875
Qwen2.5-3B,dataset,digits,32,0.46875
Qwen2.5-3B,dataset,iris,32,0.46875
Qwen2.5-3B,dataset,wine,32,0.4375
Qwen2.5-Coder-1.5B,mechanism,cli,32,0.15625
Qwen2.5-Coder-1.5B,mechanism,config,32,0.28125
Qwen2.5-Coder-1.5B,mechanism,environment,32,0.15625
Qwen2.5-Coder-1.5B,mechanism,precedence,32,0.3125
Qwen2.5-Coder-1.5B,parameter,C,32,0.34375
Qwen2.5-Coder-1.5B,parameter,metric,32,0.125
Qwen2.5-Coder-1.5B,parameter,scaler,32,0.21875
Qwen2.5-Coder-1.5B,parameter,seed,32,0.21875
Qwen2.5-Coder-1.5B,dataset,breast_cancer,32,0.15625
Qwen2.5-Coder-1.5B,dataset,digits,32,0.40625
Qwen2.5-Coder-1.5B,dataset,iris,32,0.03125
Qwen2.5-Coder-1.5B,dataset,wine,32,0.3125
