condition,mechanism,parameter,false_support_rate,n
launch,cli,C,0.0,4
launch,cli,metric,0.5,4
launch,cli,scaler,0.0,4
launch,cli,seed,0.0,4
launch,config,C,0.0,4
launch,config,metric,0.0,4
launch,config,scaler,0.0,4
launch,config,seed,0.0,4
launch,environment,C,0.0,4
launch,environment,metric,0.0,4
launch,environment,scaler,0.0,4
launch,environment,seed,0.0,4
launch,precedence,C,0.5,4
launch,precedence,metric,0.0,4
launch,precedence,scaler,0.25,4
launch,precedence,seed,0.0,4
receipt,cli,C,0.0,4
receipt,cli,metric,0.0,4
receipt,cli,scaler,0.0,4
receipt,cli,seed,0.0,4
receipt,config,C,0.0,4
receipt,config,metric,0.0,4
receipt,config,scaler,0.0,4
receipt,config,seed,0.0,4
receipt,environment,C,0.0,4
receipt,environment,metric,0.0,4
receipt,environment,scaler,0.0,4
receipt,environment,seed,0.0,4
receipt,precedence,C,0.0,4
receipt,precedence,metric,0.0,4
receipt,precedence,scaler,0.0,4
receipt,precedence,seed,0.0,4
static,cli,C,0.0,4
static,cli,metric,0.0,4
static,cli,scaler,0.0,4
static,cli,seed,0.0,4
static,config,C,0.0,4
static,config,metric,0.0,4
static,config,scaler,0.0,4
static,config,seed,0.0,4
static,environment,C,0.0,4
static,environment,metric,0.0,4
static,environment,scaler,0.0,4
static,environment,seed,0.0,4
static,precedence,C,0.0,4
static,precedence,metric,0.0,4
static,precedence,scaler,0.0,4
static,precedence,seed,0.0,4
