group,order,quotient_size,compression_ratio,seed,parameters,quotient_gap_auc,id_exact_accuracy,ood_exact_accuracy,runtime_seconds,peak_cuda_bytes
C12,12,12,1.0,11,168588,0.0,1.0,0.095458984375,13.887618500040844,86396416
C12,12,12,1.0,23,168588,0.0,0.91162109375,0.06298828125,13.091440499993041,86396416
C12,12,12,1.0,37,168588,0.0,0.99658203125,0.07958984375,13.03883069998119,86396416
C12,12,12,1.0,53,168588,0.0,0.99951171875,0.091552734375,13.114823599928059,86396416
C12,12,12,1.0,71,168588,0.0,0.994140625,0.080078125,13.78690429998096,86396416
C6xC2,12,12,1.0,11,168588,0.0,0.9912109375,0.084716796875,14.158601199975237,86396416
C6xC2,12,12,1.0,23,168588,0.0,0.97265625,0.07568359375,13.695264899986796,86396416
C6xC2,12,12,1.0,37,168588,0.0,0.99951171875,0.065673828125,13.224246100056916,86396416
C6xC2,12,12,1.0,53,168588,0.0,1.0,0.070556640625,13.313564999960363,86396416
C6xC2,12,12,1.0,71,168588,0.0,0.99755859375,0.098876953125,13.03076770005282,86396416
D6,12,4,3.0,11,168588,0.26123046875,0.8291015625,0.06787109375,13.142288799979724,86396416
D6,12,4,3.0,23,168588,0.309906005859375,0.783203125,0.101318359375,13.079786500078626,86396416
D6,12,4,3.0,37,168588,0.3741455078125,0.72900390625,0.074462890625,13.09590479999315,86396416
D6,12,4,3.0,53,168588,0.387176513671875,0.74072265625,0.086669921875,13.290833599981852,86396416
D6,12,4,3.0,71,168588,0.3673095703125,0.8193359375,0.095458984375,13.293469300027937,86396416
A4,12,3,4.0,11,168588,0.4296875,0.4462890625,0.080078125,13.077241800026968,86396416
A4,12,3,4.0,23,168588,0.514068603515625,0.4658203125,0.080078125,13.069801599951461,86396416
A4,12,3,4.0,37,168588,0.58447265625,0.46142578125,0.086181640625,13.052320800023153,86396416
A4,12,3,4.0,53,168588,0.550445556640625,0.470703125,0.0859375,13.075075100059621,86396416
A4,12,3,4.0,71,168588,0.562713623046875,0.4765625,0.0908203125,12.969449399970472,86396416
C24,24,24,1.0,11,170136,0.0,0.97607421875,0.036865234375,13.004213700070977,86420992
C24,24,24,1.0,23,170136,0.0,0.603515625,0.042724609375,13.128987699979916,86420992
C24,24,24,1.0,37,170136,0.0,0.96533203125,0.037353515625,13.111370799946599,86420992
C24,24,24,1.0,53,170136,0.0,0.96044921875,0.044189453125,13.328877300024033,86420992
C24,24,24,1.0,71,170136,0.0,0.97119140625,0.049560546875,13.068974600057118,86420992
C12xC2,24,24,1.0,11,170136,0.0,0.99365234375,0.0390625,13.15663629991468,86420992
C12xC2,24,24,1.0,23,170136,0.0,0.6015625,0.06689453125,13.10574460006319,86420992
C12xC2,24,24,1.0,37,170136,0.0,0.9931640625,0.050048828125,13.082329700002447,86420992
C12xC2,24,24,1.0,53,170136,0.0,0.99755859375,0.053466796875,13.037995300022885,86420992
C12xC2,24,24,1.0,71,170136,0.0,0.984375,0.04541015625,13.113129899953492,86420992
Q8xC3,24,12,2.0,11,170136,0.372711181640625,0.541015625,0.037353515625,13.072872700053267,86420992
Q8xC3,24,12,2.0,23,170136,0.33538818359375,0.51806640625,0.043701171875,13.091566699906252,86420992
Q8xC3,24,12,2.0,37,170136,0.378448486328125,0.513671875,0.052001953125,13.037067800061777,86420992
Q8xC3,24,12,2.0,53,170136,0.317596435546875,0.64404296875,0.043701171875,13.091713900095783,86420992
Q8xC3,24,12,2.0,71,170136,0.366241455078125,0.513671875,0.037841796875,13.038552699959837,86420992
D12,24,4,6.0,11,170136,0.650115966796875,0.2880859375,0.0419921875,13.096375600085594,86420992
D12,24,4,6.0,23,170136,0.56884765625,0.44091796875,0.038330078125,13.071165599976666,86420992
D12,24,4,6.0,37,170136,0.235748291015625,0.365234375,0.037353515625,12.97875530004967,86420992
D12,24,4,6.0,53,170136,0.444061279296875,0.41357421875,0.04248046875,12.986621800111607,86420992
D12,24,4,6.0,71,170136,0.32574462890625,0.4228515625,0.044677734375,13.014700700063258,86420992
S4,24,2,12.0,11,170136,0.729034423828125,0.22119140625,0.045166015625,13.126032100059092,86420992
S4,24,2,12.0,23,170136,0.754241943359375,0.19091796875,0.048828125,13.100497299921699,86420992
S4,24,2,12.0,37,170136,0.74969482421875,0.21240234375,0.0458984375,12.980712599935941,86420992
S4,24,2,12.0,53,170136,0.793243408203125,0.15087890625,0.0380859375,13.068159300019033,86420992
S4,24,2,12.0,71,170136,0.76153564453125,0.212890625,0.050048828125,13.526840000064112,86420992
