group,order,seed,step,exact_accuracy,quotient_accuracy,nll
C12,12,11,100,0.13671875,0.13671875,2.436031460762024
C12,12,11,200,0.34765625,0.34765625,1.7634482681751251
C12,12,11,300,0.53857421875,0.53857421875,1.2197749316692352
C12,12,11,400,0.74658203125,0.74658203125,0.7107018530368805
C12,12,11,500,0.89599609375,0.89599609375,0.3519396334886551
C12,12,11,600,0.91162109375,0.91162109375,0.3449004590511322
C12,12,11,700,0.8681640625,0.8681640625,0.4270676374435425
C12,12,11,800,0.9755859375,0.9755859375,0.07911565527319908
C12,12,11,900,0.96533203125,0.96533203125,0.10928758233785629
C12,12,11,1000,0.9912109375,0.9912109375,0.03029403928667307
C12,12,11,1100,0.998046875,0.998046875,0.01442031073383987
C12,12,11,1200,0.99560546875,0.99560546875,0.017937057185918093
C12,12,11,1300,0.99560546875,0.99560546875,0.023330218624323606
C12,12,11,1400,0.99560546875,0.99560546875,0.017985848477110267
C12,12,11,1500,0.93603515625,0.93603515625,0.19777531176805496
C12,12,11,1600,1.0,1.0,0.0030200392357073724
C12,12,23,100,0.1826171875,0.1826171875,2.2797178626060486
C12,12,23,200,0.4189453125,0.4189453125,1.5815217792987823
C12,12,23,300,0.5419921875,0.5419921875,1.142587125301361
C12,12,23,400,0.61279296875,0.61279296875,1.0066787600517273
C12,12,23,500,0.77685546875,0.77685546875,0.6027610152959824
C12,12,23,600,0.6552734375,0.6552734375,0.9686549156904221
C12,12,23,700,0.8818359375,0.8818359375,0.3331170603632927
C12,12,23,800,0.90771484375,0.90771484375,0.2629985325038433
C12,12,23,900,0.89501953125,0.89501953125,0.27096573635935783
C12,12,23,1000,0.98486328125,0.98486328125,0.05874430574476719
C12,12,23,1100,0.77490234375,0.77490234375,0.790344774723053
C12,12,23,1200,0.96923828125,0.96923828125,0.09721853770315647
C12,12,23,1300,0.96044921875,0.96044921875,0.10951610095798969
C12,12,23,1400,0.99462890625,0.99462890625,0.03336453624069691
C12,12,23,1500,0.984375,0.984375,0.056880767457187176
C12,12,23,1600,0.91162109375,0.91162109375,0.27493875473737717
C12,12,37,100,0.125,0.125,2.527267038822174
C12,12,37,200,0.37548828125,0.37548828125,1.753146767616272
C12,12,37,300,0.5625,0.5625,1.173141896724701
C12,12,37,400,0.62255859375,0.62255859375,1.0414068698883057
C12,12,37,500,0.8251953125,0.8251953125,0.5088699012994766
C12,12,37,600,0.8603515625,0.8603515625,0.4090615510940552
C12,12,37,700,0.892578125,0.892578125,0.3232771009206772
