revision,commit,step,tokens,progress,phase,selected_for_arc004,new_inference
step-160000,0c922937fdb52bd5a68d9505e98492a57d930a75,160000,251658240000,0.0625,stable/pre-decay,false,false
step-320000,24f9f6ba2ae2a79fe893df62646dffe67a794f50,320000,503316480000,0.125,stable/pre-decay,true,false
step-480000,dec14b4f5093fff3e528cc7adda81a8113422c8d,480000,754974720000,0.1875,stable/pre-decay,false,false
step-640000,f834a2cc301459b1b27ccbff78e8f67404a4aacd,640000,1006632960000,0.25,stable/pre-decay,false,false
step-800000,e1871f370b015aecd2a7bcdde726faf4e4778261,800000,1258291200000,0.3125,stable/pre-decay,true,false
step-960000,9b2b7a1735e5029271b9d5cfc0d377d7199049ad,960000,1509949440000,0.375,stable/pre-decay,false,false
step-1120000,35f75f09e8cd23f9099632ec723f552db4289eab,1120000,1761607680000,0.4375,stable/pre-decay,false,false
step-1280000,ed07699cbec92fa63564cd46abdf52e262080bc3,1280000,2013265920000,0.5,stable/pre-decay,true,false
step-1440000,54fe40b902a8c379b8478a1ce3d4c676a10d3ad6,1440000,2264924160000,0.5625,stable/pre-decay,false,false
step-1600000,4237a21dced2e30f357406e092c5960980a4c848,1600000,2516582400000,0.625,stable/pre-decay,false,false
step-1760000,54e6c8efd5832d2608d7985d6ca25e85983ee533,1760000,2768240640000,0.6875,stable/pre-decay,false,false
step-1920000,af134f51feb3a2bfcbc06b3e37f3337d0f3281ae,1920000,3019898880000,0.75,stable/pre-decay,true,false
inferred-boundary,not-public,2048000,3221225472000,0.8,inferred WSD boundary,false,false
step-2080000,94c6cef4a924c2c2edbf0da3b9d082010c1f2629,2080000,3271557120000,0.8125,WSD decay,true,true
step-2240000,8f5f6865f1d1d368a03a55a9a3a90b458ab7b513,2240000,3523215360000,0.875,WSD decay,true,true
step-2400000,94a4fe6b676f6a84980793194d34798aabd24e48,2400000,3774873600000,0.9375,WSD decay,true,true
step-2560000,6587c7a7b6179794ee17a43d3e0376d560a49183,2560000,4026531840000,1.0,WSD decay,true,false

