stage,run_id,step,status,raw_file,exclusion_reason
calibration,1,14000,completed,raw/calibration/pythia-160m-seed1.json,
calibration,1,143000,completed,raw/calibration/pythia-160m-seed1.json,
calibration,4,14000,completed,raw/calibration/pythia-160m-seed4.json,
calibration,4,143000,completed,raw/calibration/pythia-160m-seed4.json,
confirmatory,2,14000,completed,raw/confirmatory/pythia-160m-seed2.json,
confirmatory,2,72000,completed,raw/confirmatory/pythia-160m-seed2.json,
confirmatory,2,143000,completed,raw/confirmatory/pythia-160m-seed2.json,
confirmatory,3,14000,completed,raw/confirmatory/pythia-160m-seed3.json,
confirmatory,3,72000,completed,raw/confirmatory/pythia-160m-seed3.json,
confirmatory,3,143000,completed,raw/confirmatory/pythia-160m-seed3.json,
confirmatory,5,14000,completed,raw/confirmatory/pythia-160m-seed5.json,
confirmatory,5,72000,completed,raw/confirmatory/pythia-160m-seed5.json,
confirmatory,5,143000,completed,raw/confirmatory/pythia-160m-seed5.json,
confirmatory,6,14000,completed,raw/confirmatory/pythia-160m-seed6.json,
confirmatory,6,72000,completed,raw/confirmatory/pythia-160m-seed6.json,
confirmatory,6,143000,completed,raw/confirmatory/pythia-160m-seed6.json,
confirmatory,8,14000,completed,raw/confirmatory/pythia-160m-seed8.json,
confirmatory,8,72000,completed,raw/confirmatory/pythia-160m-seed8.json,
confirmatory,8,143000,completed,raw/confirmatory/pythia-160m-seed8.json,
