target_id,run_id,step,progress,layer,target_kl,target_nll_damage
r1_s14000_l2,1,14000,0.0979020979020979,2,0.5368219614028931,0.48881491025288915
r1_s14000_l5,1,14000,0.0979020979020979,5,0.2374751054578357,0.2689779334598117
r1_s14000_l8,1,14000,0.0979020979020979,8,0.19049122598436144,0.28213980462816
r1_s14000_l10,1,14000,0.0979020979020979,10,0.2917170491483476,0.3773197068108452
r1_s143000_l2,1,143000,1.0,2,0.9384966757562424,0.9589426782396101
r1_s143000_l5,1,143000,1.0,5,0.39023393392562866,0.42194051212734635
r1_s143000_l8,1,143000,1.0,8,0.31908416748046875,0.3501515388488767
r1_s143000_l10,1,143000,1.0,10,0.9052069253391689,1.055728859371609
r4_s14000_l2,4,14000,0.0979020979020979,2,0.6850358777576023,0.7172745333777533
r4_s14000_l5,4,14000,0.0979020979020979,5,0.23117907676431868,0.23345793618096256
r4_s14000_l8,4,14000,0.0979020979020979,8,0.19218661553329888,0.21554711129930273
r4_s14000_l10,4,14000,0.0979020979020979,10,0.2631688233878877,0.27625036239624023
r4_s143000_l2,4,143000,1.0,2,1.0870667497316997,1.0910951296488443
r4_s143000_l5,4,143000,1.0,5,0.3572770290904575,0.39723136689927846
r4_s143000_l8,4,143000,1.0,8,0.3316036628352271,0.33517501089307994
r4_s143000_l10,4,143000,1.0,10,0.8876515825589498,0.9300764931572808
