target_id,run_id,step,layer,match_class,delta_b_mean_block,delta_b_mean_noise,logit_delta_norm_mean_block,logit_delta_norm_mean_noise,abs_cosine_alignment_mean_block,abs_cosine_alignment_mean_noise,delta_boundary_difference,logit_norm_difference,absolute_cosine_difference_signed,absolute_log_norm_ratio,delta_b_standardized_difference,absolute_cosine_difference,pass_delta_b,pass_norm,pass_cosine,geometry_match,failure_reason
r2_s14000_l1,2,14000,1,A,-0.13787978887557983,-0.30280357599258423,243.5110626220703,242.9678497314453,0.0032270788215100765,0.003155624959617853,-0.1649237871170044,-0.543212890625,-7.145386189222336e-05,0.002233244247995536,1.2614582308449505,7.145386189222336e-05,False,True,True,False,delta_boundary
r2_s14000_l10,2,14000,10,A,-0.08241187036037445,-0.07840490341186523,204.04476928710938,224.84707641601562,0.003030718071386218,0.002523495117202401,0.004006966948509216,20.80230712890625,-0.0005072229541838169,0.09708108370059776,0.03064822562153905,0.0005072229541838169,True,True,True,True,
r2_s14000_l2,2,14000,2,A,-0.26186659932136536,-0.3800823986530304,267.0230712890625,261.4975280761719,0.0030098543502390385,0.0032187162432819605,-0.11821579933166504,-5.525543212890625,0.00020886189304292202,0.02091023339279907,0.9042012416137907,0.00020886189304292202,False,True,True,False,delta_boundary
r2_s14000_l3,2,14000,3,A,-0.25167810916900635,-0.2629562020301819,279.07080078125,297.6407470703125,0.003118542954325676,0.002933186013251543,-0.011278092861175537,18.5699462890625,-0.00018535694107413292,0.06442169663625918,0.08626313594090823,0.00018535694107413292,True,True,True,True,
r2_s14000_l4,2,14000,4,A,-0.2136213481426239,-0.12099655717611313,163.35345458984375,193.87530517578125,0.0032588252797722816,0.0026682140305638313,0.09262479096651077,30.5218505859375,-0.0005906112492084503,0.17129890936521175,0.7084624176262992,0.0005906112492084503,False,True,True,False,delta_boundary
r2_s14000_l6,2,14000,6,A,-0.11310449987649918,-0.07605056464672089,157.48333740234375,166.53916931152344,0.003117629326879978,0.00255077937617898,0.03705393522977829,9.055831909179688,-0.0005668499507009983,0.05591087447530807,0.2834157061142346,0.0005668499507009983,True,True,True,True,
r2_s14000_l9,2,14000,9,A,-0.06232960894703865,-0.033732518553733826,176.159423828125,185.40731811523438,0.0029790857806801796,0.002453790744766593,0.028597090393304825,9.247894287109375,-0.0005252950359135866,0.05116572214888304,0.21873154676747075,0.0005252950359135866,True,True,True,True,
r2_s143000_l1,2,143000,1,A,-0.2700873613357544,-0.43679922819137573,740.2431640625,943.7932739257812,0.001738650957122445,0.0012942447792738676,-0.16671186685562134,203.55010986328125,-0.0004444061778485775,0.24292842037290896,1.2751347777101107,0.0004444061778485775,False,False,True,False,delta_boundary;log_norm
r2_s143000_l10,2,143000,10,A,-0.5007866621017456,-0.14803597331047058,941.5951538085938,1100.8914794921875,0.0012624539667740464,0.00120887765660882,0.352750688791275,159.29632568359375,-5.357631016522646e-05,0.15630015729210367,2.6980963000582228,5.357631016522646e-05,False,True,True,False,delta_boundary
r2_s143000_l2,2,143000,2,A,-0.3731113076210022,-0.44313672184944153,1067.86767578125,770.2924194335938,0.0013531807344406843,0.0018014981178566813,-0.07002541422843933,-297.57525634765625,0.00044831738341599703,0.3266489045095504,0.5356057891401904,0.00044831738341599703,False,False,True,False,delta_boundary;log_norm
r2_s143000_l3,2,143000,3,A,-0.4529350996017456,-0.2722405195236206,864.5391845703125,660.9923095703125,0.0016501799691468477,0.0021892124786973,0.180694580078125,-203.546875,0.0005390325095504522,0.26845442513169004,1.3820848362335556,0.0005390325095504522,False,False,True,False,delta_boundary;log_norm
r2_s143000_l4,2,143000,4,A,-0.1002705916762352,-0.1399468332529068,386.65570068359375,410.869140625,0.0021685552783310413,0.0019437350565567613,-0.0396762415766716,24.21343994140625,-0.00022482022177428007,0.06074013642954501,0.30347303066947734,0.00022482022177428007,True,True,True,True,
r2_s143000_l6,2,143000,6,A,-0.1380479633808136,-0.12190528959035873,385.5957336425781,419.6067199707031,0.0021757851354777813,0.0018362902337685227,0.016142673790454865,34.010986328125,-0.00033949490170925856,0.0845283931064511,0.12347102305119693,0.00033949490170925856,True,True,True,True,
r2_s143000_l9,2,143000,9,A,-0.1391703337430954,-0.07351769506931305,376.1910400390625,442.2201843261719,0.0019903848879039288,0.0017427467973902822,0.06565263867378235,66.02914428710938,-0.0002476380905136466,0.16171081305541346,0.5021595906779498,0.0002476380905136466,False,True,True,False,delta_boundary
r2_s72000_l1,2,72000,1,A,-0.2332109808921814,-0.383475661277771,328.1930236816406,328.2709655761719,0.0029280693270266056,0.002821458736434579,-0.1502646803855896,0.07794189453125,-0.00010661059059202671,0.0002374597728831418,1.1493346180755029,0.00010661059059202671,False,True,True,False,delta_boundary
r2_s72000_l10,2,72000,10,A,-0.2941177785396576,-0.1284400224685669,308.5693054199219,315.219482421875,0.00258578616194427,0.0024826989974826574,0.1656777560710907,6.650177001953125,-0.0001030871644616127,0.021322694772012873,1.2672251390609193,0.0001030871644616127,False,True,True,False,delta_boundary
r2_s72000_l2,2,72000,2,A,-0.2679746448993683,-0.3706510663032532,332.80755615234375,325.78167724609375,0.0029132862109690905,0.0029246811755001545,-0.10267642140388489,-7.02587890625,1.1394964531064034e-05,0.021336958156735086,0.7853446683330554,1.1394964531064034e-05,False,True,True,False,delta_boundary
r2_s72000_l3,2,72000,3,A,-0.27796471118927,-0.2402031570672989,322.07769775390625,341.6459655761719,0.002957214368507266,0.0027852754574269056,0.03776155412197113,19.568267822265625,-0.0001719389110803604,0.05898219870203292,0.28882809502102563,0.0001719389110803604,True,True,True,True,
r2_s72000_l7,2,72000,7,A,-0.06012217327952385,-0.0994105190038681,248.90245056152344,243.94598388671875,0.002689171116799116,0.0024270762223750353,-0.039288345724344254,-4.9564666748046875,-0.00026209489442408085,0.020114231619530187,0.3005061183508692,0.00026209489442408085,True,True,True,True,
r2_s72000_l9,2,72000,9,A,-0.14128834009170532,-0.09441863000392914,256.517333984375,248.06246948242188,0.0025608332362025976,0.002405712381005287,0.046869710087776184,-8.454864501953125,-0.00015512085519731045,0.03351563369439692,0.3584939601562539,0.00015512085519731045,True,True,True,True,
r3_s14000_l1,3,14000,1,A,-0.13027064502239227,-0.30420783162117004,262.5986633300781,254.40570068359375,0.0030882200226187706,0.0030261671636253595,-0.17393718659877777,-8.192962646484375,-6.205285899341106e-05,0.03169663215658414,1.3303993288086435,6.205285899341106e-05,False,True,True,False,delta_boundary
r3_s14000_l10,3,14000,10,A,-0.02731916680932045,-0.054846543818712234,193.91615295410156,214.6875762939453,0.0030259257182478905,0.0024760349187999964,-0.027527377009391785,20.77142333984375,-0.0005498907994478941,0.10175797341877146,0.21054959329447182,0.0005498907994478941,True,True,True,True,
r3_s14000_l2,3,14000,2,A,-0.1384056955575943,-0.2859249413013458,232.927734375,223.54547119140625,0.0030851541087031364,0.0030623641796410084,-0.14751924574375153,-9.38226318359375,-2.2789929062128067e-05,0.04111340868014146,1.1283355179048495,2.2789929062128067e-05,False,True,True,False,delta_boundary
r3_s14000_l3,3,14000,3,A,-0.45295843482017517,-0.39087924361228943,323.9674072265625,348.6658020019531,0.0031602978706359863,0.0030145247001200914,0.06207919120788574,24.698394775390625,-0.0001457731705158949,0.07347096028319733,0.47482724040182317,0.0001457731705158949,True,True,True,True,
r3_s14000_l4,3,14000,4,A,-0.21555964648723602,-0.1496906578540802,203.00558471679688,233.7720947265625,0.0032105492427945137,0.002761304145678878,0.06586898863315582,30.766510009765625,-0.00044924509711563587,0.14111319701262293,0.5038143940375224,0.00044924509711563587,False,True,True,False,delta_boundary
r3_s14000_l5,3,14000,5,A,-0.15285450220108032,-0.0824531614780426,172.6040496826172,194.06849670410156,0.0031927742529660463,0.002669691573828459,0.07040134072303772,21.464447021484375,-0.0005230826791375875,0.11721093134766125,0.5384811510215386,0.0005230826791375875,False,True,True,False,delta_boundary
r3_s14000_l8,3,14000,8,A,-0.00805536936968565,-0.02056913450360298,186.74179077148438,179.86631774902344,0.0025459518656134605,0.0024271325673907995,-0.012513765133917332,-6.8754730224609375,-0.00011881929822266102,0.03751296886578448,0.09571446486274032,0.00011881929822266102,True,True,True,True,
r3_s14000_l9,3,14000,9,A,-0.0308074951171875,-0.03988291695713997,172.16793823242188,186.25607299804688,0.0029012556187808514,0.0024990758392959833,-0.009075421839952469,14.088134765625,-0.00040217977948486805,0.07865207789719175,0.06941549050335687,0.00040217977948486805,True,True,True,True,
r3_s143000_l1,3,143000,1,A,-0.2272135466337204,-0.30164027214050293,928.075927734375,1066.407958984375,0.0013488222612068057,0.001125818700529635,-0.07442672550678253,138.33203125,-0.00022300356067717075,0.13893768413183416,0.5692702497715598,0.00022300356067717075,False,True,True,False,delta_boundary
r3_s143000_l10,3,143000,10,A,-0.4423285722732544,-0.05701135843992233,1433.0538330078125,2286.59326171875,0.0007656016969121993,0.0006044576875865459,0.38531721383333206,853.5394287109375,-0.00016114400932565331,0.46725533647596684,2.947188997857941,0.00016114400932565331,False,False,True,False,delta_boundary;log_norm
r3_s143000_l2,3,143000,2,A,-0.2807888388633728,-0.35143589973449707,1023.234130859375,949.8297119140625,0.0013078898191452026,0.0013922527432441711,-0.07064706087112427,-73.4044189453125,8.43629240989685e-05,0.07444088877529964,0.5403605991515305,8.43629240989685e-05,False,True,True,False,delta_boundary
r3_s143000_l3,3,143000,3,A,-0.43798828125,-0.32082340121269226,1044.52197265625,1143.4716796875,0.0018399275140836835,0.0018661328358575702,0.11716488003730774,98.94970703125,2.620532177388668e-05,0.09050962950778274,0.8961630391386057,2.620532177388668e-05,False,True,True,False,delta_boundary
r3_s143000_l4,3,143000,4,A,-0.2232259064912796,-0.14694100618362427,596.969970703125,700.3130493164062,0.0019430009415373206,0.001717205042950809,0.07628490030765533,103.34307861328125,-0.0002257958985865116,0.15966063658476415,0.583482935145118,0.0002257958985865116,False,True,True,False,delta_boundary
r3_s143000_l5,3,143000,5,A,-0.2432725727558136,-0.13661928474903107,506.3499450683594,675.2772216796875,0.0020747589878737926,0.001669364981353283,0.10665328800678253,168.92727661132812,-0.0004053940065205097,0.2878952840508173,0.815762664408046,0.0004053940065205097,False,False,True,False,delta_boundary;log_norm
r3_s143000_l8,3,143000,8,A,-0.0255262590944767,-0.0627848282456398,556.3225708007812,717.8114624023438,0.001678609405644238,0.00149042927660048,-0.0372585691511631,161.4888916015625,-0.00018818012904375792,0.2548586580511376,0.2849808966119389,0.00018818012904375792,True,False,True,False,log_norm
r3_s72000_l1,3,72000,1,A,-0.2291845977306366,-0.3513473868370056,303.7366027832031,310.3426513671875,0.002895989688113332,0.002883704612031579,-0.12216278910636902,6.606048583984375,-1.2285076081752777e-05,0.021516126427483684,0.9343907177675785,1.2285076081752777e-05,False,True,True,False,delta_boundary
r3_s72000_l10,3,72000,10,A,-0.20883505046367645,-0.08797537535429001,286.358154296875,300.47222900390625,0.002589101204648614,0.002438812982290983,0.12085967510938644,14.11407470703125,-0.00015028822235763073,0.048112018631399245,0.9244235450148892,0.00015028822235763073,False,True,True,False,delta_boundary
r3_s72000_l2,3,72000,2,A,-0.28040698170661926,-0.38209202885627747,305.7991943359375,301.38824462890625,0.0030126587953418493,0.002960300538688898,-0.1016850471496582,-4.41094970703125,-5.235825665295124e-05,0.01452937600702775,0.7777619100499533,5.235825665295124e-05,False,True,True,False,delta_boundary
r3_s72000_l3,3,72000,3,A,-0.4885263442993164,-0.3944467604160309,431.5286560058594,460.3079528808594,0.0030320980586111546,0.0029446363914757967,0.09407958388328552,28.779296875,-8.746166713535786e-05,0.06456180974838244,0.719589742138551,8.746166713535786e-05,False,True,True,False,delta_boundary
r3_s72000_l4,3,72000,4,A,-0.2309008687734604,-0.14077667891979218,225.33038330078125,254.72637939453125,0.003010283689945936,0.0024893346708267927,0.09012418985366821,29.39599609375,-0.0005209490191191435,0.12262225164724239,0.6893359840717664,0.0005209490191191435,False,True,True,False,delta_boundary
r3_s72000_l5,3,72000,5,A,-0.1752997487783432,-0.10101503133773804,196.55560302734375,208.72189331054688,0.002964322455227375,0.0023944575805217028,0.07428471744060516,12.166290283203125,-0.0005698648747056723,0.06005735350011676,0.5681840678019526,0.0005698648747056723,False,True,True,False,delta_boundary
r3_s72000_l6,3,72000,6,A,-0.19543923437595367,-0.12021635472774506,227.29920959472656,255.8514862060547,0.003130517201498151,0.0024464712478220463,0.07522287964820862,28.552276611328125,-0.0006840459536761045,0.11832989064374821,0.5753598212777654,0.0006840459536761045,False,True,True,False,delta_boundary
r3_s72000_l8,3,72000,8,A,-0.0677221491932869,-0.07468491792678833,259.9051208496094,255.56817626953125,0.0026275189593434334,0.002386664040386677,-0.006962768733501434,-4.336944580078125,-0.0002408549189567566,0.01682743584278068,0.05325636818001291,0.0002408549189567566,True,True,True,True,
r3_s72000_l9,3,72000,9,A,-0.04379018023610115,-0.07685989886522293,242.8475799560547,239.48692321777344,0.002522252034395933,0.002426736056804657,-0.03306971862912178,-3.36065673828125,-9.551597759127617e-05,0.013935188545183053,0.2529414918591276,9.551597759127617e-05,True,True,True,True,
r5_s14000_l1,5,14000,1,A,-0.07867208868265152,-0.24776898324489594,260.0692138671875,264.7861022949219,0.0031564508099108934,0.0029302928596735,-0.16909689456224442,4.716888427734375,-0.00022615795023739338,0.017974536134850894,1.293377220985916,0.00022615795023739338,False,True,True,False,delta_boundary
r5_s14000_l2,5,14000,2,A,-0.13523779809474945,-0.23919609189033508,249.11248779296875,245.7488250732422,0.0029668735805898905,0.0030073015950620174,-0.10395829379558563,-3.3636627197265625,4.042801447212696e-05,0.013594574625293454,0.7951493696903957,4.042801447212696e-05,False,True,True,False,delta_boundary
r5_s14000_l3,5,14000,3,A,-0.17180930078029633,-0.21079705655574799,223.68873596191406,231.86038208007812,0.0029814105946570635,0.003001687116920948,-0.03898775577545166,8.171646118164062,2.0276522263884544e-05,0.03587987522568703,0.2982069856922745,2.0276522263884544e-05,True,True,True,True,
r5_s14000_l4,5,14000,4,A,-0.23244625329971313,-0.15507128834724426,260.9914855957031,279.3651428222656,0.0029458622448146343,0.0028005109634250402,0.07737496495246887,18.3736572265625,-0.00014535128138959408,0.06803189723067593,0.5918205500058389,0.00014535128138959408,False,True,True,False,delta_boundary
r5_s14000_l8,5,14000,8,A,-0.06547334790229797,-0.044065624475479126,209.38279724121094,212.9095001220703,0.0026808888651430607,0.002548990771174431,0.021407723426818848,3.526702880859375,-0.00013189809396862984,0.01670305092450519,0.16374198890578698,0.00013189809396862984,True,True,True,True,
r5_s143000_l1,5,143000,1,A,-0.1857808381319046,-0.32911965250968933,660.2321166992188,785.2787475585938,0.0018297748174518347,0.001448776456527412,-0.14333881437778473,125.046630859375,-0.00038099836092442274,0.17344728202348136,1.0963605090400579,0.00038099836092442274,False,True,True,False,delta_boundary
r5_s143000_l10,5,143000,10,A,-0.4045172929763794,-0.0780368372797966,889.4102783203125,1177.5885009765625,0.0010982105741277337,0.0010284382151439786,0.3264804556965828,288.17822265625,-6.977235898375511e-05,0.28066534865601334,2.49716226657035,6.977235898375511e-05,False,False,True,False,delta_boundary;log_norm
r5_s143000_l2,5,143000,2,A,-0.2011447548866272,-0.3168555498123169,830.9583129882812,658.594482421875,0.0015932087553665042,0.0018722908571362495,-0.1157107949256897,-172.36383056640625,0.00027908210176974535,0.23247163655207892,0.8850411284399484,0.00027908210176974535,False,False,True,False,delta_boundary;log_norm
r5_s143000_l4,5,143000,4,A,-0.3556467592716217,-0.26226896047592163,678.0366821289062,608.6951904296875,0.002048811875283718,0.002210527192801237,0.09337779879570007,-69.34149169921875,0.000161715317517519,0.10788375582366339,0.7142219744532816,0.000161715317517519,False,True,True,False,delta_boundary
r5_s143000_l5,5,143000,5,A,-0.1678263396024704,-0.1469065397977829,382.3220520019531,404.54058837890625,0.002293917816132307,0.0020408271811902523,0.0209197998046875,22.218536376953125,-0.00025309063494205475,0.056488752071023995,0.16000999075124175,0.00025309063494205475,True,True,True,True,
r5_s143000_l6,5,143000,6,A,-0.0685085728764534,-0.11035551875829697,361.5867004394531,380.7369079589844,0.0023926342837512493,0.0020698937587440014,-0.04184694588184357,19.15020751953125,-0.0003227405250072479,0.05160675822598648,0.32007617118884407,0.0003227405250072479,True,True,True,True,
