layer,cells,runs,m0,m3,low_support
1,15,5,0.0036688194375333605,0.018711216672642264,False
2,15,5,-0.008370513865566899,-0.004406234963664119,False
3,10,4,-0.026111795259630362,-0.023245667316359728,False
4,14,5,-0.03787714172368655,-0.031849483626876396,False
5,9,4,-0.026865297231627658,-0.03998214834516464,False
6,8,5,-0.03403445920443506,-0.049031747298468764,False
7,3,2,-0.04407186866054413,-0.05440568132271971,True
8,8,3,-0.015663331847593498,-0.013059058378903074,False
9,12,5,-0.022511997534655742,-0.017184164898488587,False
10,9,4,0.01773996045014653,0.011882632499212478,False
