run_id,stage,step,progress,layer,alpha,bin_index,bin_low,bin_high,bin_count,bin_agree_count,bin_agreement,bin_damage
1,pilot,14000,0.0979020979020979,1,0.25,0,0.0,0.05,110,79.0,0.7181818181818181,0.28181818181818186
1,pilot,14000,0.0979020979020979,1,0.25,1,0.05,0.1,397,331.0,0.8337531486146096,0.16624685138539042
1,pilot,14000,0.0979020979020979,1,0.25,2,0.1,0.2,882,787.0,0.8922902494331065,0.10770975056689347
1,pilot,14000,0.0979020979020979,1,0.25,3,0.2,0.4,1372,1300.0,0.9475218658892128,0.05247813411078717
1,pilot,14000,0.0979020979020979,1,0.25,4,0.4,1.01,1847,1839.0,0.9956686518678939,0.0043313481321061165
1,pilot,14000,0.0979020979020979,1,0.5,0,0.0,0.05,110,61.0,0.5545454545454546,0.44545454545454544
1,pilot,14000,0.0979020979020979,1,0.5,1,0.05,0.1,397,268.0,0.6750629722921915,0.3249370277078085
1,pilot,14000,0.0979020979020979,1,0.5,2,0.1,0.2,882,663.0,0.7517006802721088,0.2482993197278912
1,pilot,14000,0.0979020979020979,1,0.5,3,0.2,0.4,1372,1208.0,0.880466472303207,0.11953352769679304
1,pilot,14000,0.0979020979020979,1,0.5,4,0.4,1.01,1847,1820.0,0.9853817000541418,0.01461829994585817
1,pilot,14000,0.0979020979020979,1,0.75,0,0.0,0.05,110,41.0,0.37272727272727274,0.6272727272727272
1,pilot,14000,0.0979020979020979,1,0.75,1,0.05,0.1,397,203.0,0.5113350125944585,0.48866498740554154
1,pilot,14000,0.0979020979020979,1,0.75,2,0.1,0.2,882,522.0,0.5918367346938775,0.40816326530612246
1,pilot,14000,0.0979020979020979,1,0.75,3,0.2,0.4,1372,1062.0,0.7740524781341108,0.22594752186588918
1,pilot,14000,0.0979020979020979,1,0.75,4,0.4,1.01,1847,1771.0,0.9588521927449919,0.041147807255008106
1,pilot,14000,0.0979020979020979,1,1.0,0,0.0,0.05,110,26.0,0.23636363636363636,0.7636363636363637
1,pilot,14000,0.0979020979020979,1,1.0,1,0.05,0.1,397,157.0,0.3954659949622166,0.6045340050377834
1,pilot,14000,0.0979020979020979,1,1.0,2,0.1,0.2,882,434.0,0.49206349206349204,0.5079365079365079
1,pilot,14000,0.0979020979020979,1,1.0,3,0.2,0.4,1372,927.0,0.6756559766763849,0.3243440233236151
1,pilot,14000,0.0979020979020979,1,1.0,4,0.4,1.01,1847,1671.0,0.9047103410936654,0.09528965890633456
1,pilot,14000,0.0979020979020979,2,0.25,0,0.0,0.05,110,78.0,0.7090909090909091,0.2909090909090909
1,pilot,14000,0.0979020979020979,2,0.25,1,0.05,0.1,397,316.0,0.7959697732997482,0.20403022670025184
1,pilot,14000,0.0979020979020979,2,0.25,2,0.1,0.2,882,766.0,0.8684807256235828,0.1315192743764172
1,pilot,14000,0.0979020979020979,2,0.25,3,0.2,0.4,1372,1311.0,0.9555393586005831,0.044460641399416856
1,pilot,14000,0.0979020979020979,2,0.25,4,0.4,1.01,1847,1841.0,0.9967514889009204,0.003248511099079643
1,pilot,14000,0.0979020979020979,2,0.5,0,0.0,0.05,110,57.0,0.5181818181818182,0.4818181818181818
1,pilot,14000,0.0979020979020979,2,0.5,1,0.05,0.1,397,265.0,0.6675062972292192,0.33249370277078083
1,pilot,14000,0.0979020979020979,2,0.5,2,0.1,0.2,882,673.0,0.7630385487528345,0.2369614512471655
1,pilot,14000,0.0979020979020979,2,0.5,3,0.2,0.4,1372,1206.0,0.8790087463556852,0.12099125364431484
1,pilot,14000,0.0979020979020979,2,0.5,4,0.4,1.01,1847,1825.0,0.9880887926367081,0.011911207363291876
1,pilot,14000,0.0979020979020979,2,0.75,0,0.0,0.05,110,43.0,0.39090909090909093,0.6090909090909091
1,pilot,14000,0.0979020979020979,2,0.75,1,0.05,0.1,397,202.0,0.5088161209068011,0.49118387909319894
1,pilot,14000,0.0979020979020979,2,0.75,2,0.1,0.2,882,555.0,0.6292517006802721,0.37074829931972786
1,pilot,14000,0.0979020979020979,2,0.75,3,0.2,0.4,1372,1071.0,0.7806122448979592,0.21938775510204078
1,pilot,14000,0.0979020979020979,2,0.75,4,0.4,1.01,1847,1773.0,0.9599350297780184,0.04006497022198163
1,pilot,14000,0.0979020979020979,2,1.0,0,0.0,0.05,110,28.0,0.2545454545454545,0.7454545454545455
1,pilot,14000,0.0979020979020979,2,1.0,1,0.05,0.1,397,138.0,0.34760705289672544,0.6523929471032746
1,pilot,14000,0.0979020979020979,2,1.0,2,0.1,0.2,882,438.0,0.4965986394557823,0.5034013605442177
1,pilot,14000,0.0979020979020979,2,1.0,3,0.2,0.4,1372,885.0,0.6450437317784257,0.35495626822157433
1,pilot,14000,0.0979020979020979,2,1.0,4,0.4,1.01,1847,1644.0,0.8900920411478073,0.10990795885219273
1,pilot,14000,0.0979020979020979,3,0.25,0,0.0,0.05,110,82.0,0.7454545454545455,0.2545454545454545
1,pilot,14000,0.0979020979020979,3,0.25,1,0.05,0.1,397,311.0,0.783375314861461,0.21662468513853905
1,pilot,14000,0.0979020979020979,3,0.25,2,0.1,0.2,882,754.0,0.854875283446712,0.14512471655328796
1,pilot,14000,0.0979020979020979,3,0.25,3,0.2,0.4,1372,1280.0,0.9329446064139941,0.06705539358600587
1,pilot,14000,0.0979020979020979,3,0.25,4,0.4,1.01,1847,1839.0,0.9956686518678939,0.0043313481321061165
1,pilot,14000,0.0979020979020979,3,0.5,0,0.0,0.05,110,51.0,0.4636363636363636,0.5363636363636364
